time,wave_height,wave_period,wind_wave_peak_period,wave_direction,wind_wave_height,wind_wave_direction,wind_wave_period,swell_wave_height,swell_wave_direction,swell_wave_period,swell_wave_peak_period,secondary_swell_wave_height,secondary_swell_wave_period,secondary_swell_wave_direction,sea_level_height_msl,sea_surface_temperature,ocean_current_velocity,ocean_current_direction,invert_barometer_height
2024-05-26 00:00:00,1.16,6.1,,176,0.66,197,3.05,0.82,173,5.95,,,,,0.27,20.9,1.0,22.0,-0.13
2024-05-26 01:00:00,1.16,6.1,,176,0.64,198,3.05,0.82,173,5.95,,,,,0.25,20.8,1.0,22.0,-0.13
2024-05-26 02:00:00,1.14,6.15,,177,0.64,200,3.0,0.82,172,5.95,,,,,0.27,20.8,0.8,27.0,-0.14
2024-05-26 03:00:00,1.14,6.15,,177,0.62,201,2.95,0.82,172,5.95,,,,,0.33,20.8,0.8,27.0,-0.13
2024-05-26 04:00:00,1.12,6.15,,176,0.6,202,2.9,0.82,172,5.9,,,,,0.41,20.7,0.8,27.0,-0.13
2024-05-26 05:00:00,1.12,6.1,,176,0.58,202,2.85,0.8,171,5.9,,,,,0.47,20.7,0.7,14.0,-0.13
2024-05-26 06:00:00,1.1,6.15,,175,0.56,203,2.8,0.8,171,5.9,,,,,0.46,20.6,0.7,14.0,-0.13
2024-05-26 07:00:00,1.14,6.3,,175,0.58,203,2.8,0.82,170,6.0,,,,,0.36,20.6,0.8,27.0,-0.13
2024-05-26 08:00:00,1.18,6.45,,174,0.6,202,2.85,0.86,170,6.2,,,,,0.23,20.6,0.6,34.0,-0.13
2024-05-26 09:00:00,1.22,6.55,,174,0.62,202,2.9,0.88,169,6.3,,,,,0.11,20.5,0.6,34.0,-0.13
2024-05-26 10:00:00,1.2,6.5,,174,0.62,202,2.9,0.86,168,6.3,,,,,0.0,20.5,0.6,34.0,-0.14
2024-05-26 11:00:00,1.18,6.35,,174,0.62,201,2.9,0.84,168,6.2,,,,,-0.09,20.5,0.6,34.0,-0.15
2024-05-26 12:00:00,1.16,6.25,,174,0.62,201,2.95,0.82,167,6.15,,,,,-0.15,20.5,0.6,34.0,-0.15
2024-05-26 13:00:00,1.16,6.25,,174,0.66,198,3.0,0.82,166,6.2,,,,,-0.15,20.5,0.6,34.0,-0.15
2024-05-26 14:00:00,1.18,6.25,,174,0.68,196,3.1,0.8,165,6.3,,,,,-0.09,20.4,0.6,18.0,-0.15
2024-05-26 15:00:00,1.18,6.25,,174,0.72,193,3.2,0.8,164,6.4,,,,,0.03,20.4,0.7,14.0,-0.15
2024-05-26 16:00:00,1.18,6.2,,173,0.76,190,3.35,0.78,160,6.55,,,,,0.2,20.4,0.7,14.0,-0.14
2024-05-26 17:00:00,1.2,6.15,,172,0.82,187,3.45,0.76,156,6.7,,,,,0.36,20.4,0.7,14.0,-0.13
2024-05-26 18:00:00,1.2,6.1,,171,0.86,184,3.5,0.74,152,6.75,,,,,0.46,20.4,0.9,11.0,-0.13
2024-05-26 19:00:00,1.16,6.1,,169,0.78,183,3.4,0.76,154,6.65,,,,,0.46,20.4,0.7,14.0,-0.13
2024-05-26 20:00:00,1.14,6.15,,167,0.68,182,3.2,0.78,155,6.45,,,,,0.43,20.4,0.7,14.0,-0.13
