time,wave_height,wave_period,wind_wave_peak_period,wave_direction,wind_wave_height,wind_wave_direction,wind_wave_period,swell_wave_height,swell_wave_direction,swell_wave_period,swell_wave_peak_period,secondary_swell_wave_height,secondary_swell_wave_period,secondary_swell_wave_direction,sea_level_height_msl,sea_surface_temperature,ocean_current_velocity,ocean_current_direction,invert_barometer_height
2024-02-26 00:00:00,0.7,5.6,,111,0.12,117,0.9,0.52,129,3.6,,,,,-0.42,28.0,0.3,315,-0.1
2024-02-26 01:00:00,0.78,5.7,,113,0.1,122,0.8,0.6,129,3.6,,,,,-0.34,28.0,0.3,315,-0.1
2024-02-26 02:00:00,0.84,5.85,,114,0.08,126,0.8,0.68,128,3.85,,,,,-0.19,28.0,0.3,315,-0.1
2024-02-26 03:00:00,0.92,5.95,,116,0.06,131,0.75,0.76,128,4.05,,,,,0.02,28.0,0.0,90,-0.1
2024-02-26 04:00:00,0.92,5.9,,117,0.04,136,0.55,0.74,128,4.05,,,,,0.2,28.0,0.0,90,-0.09
2024-02-26 05:00:00,0.92,5.85,,117,0.04,142,0.25,0.74,127,4.0,,,,,0.29,28.0,0.0,90,-0.09
2024-02-26 06:00:00,0.92,5.85,,118,0.02,147,0.1,0.72,127,4.05,,,,,0.28,28.0,0.0,90,-0.08
2024-02-26 07:00:00,0.98,6.0,,118,0.02,139,0.2,0.76,130,4.25,,,,,0.22,28.0,0.0,90,-0.08
2024-02-26 08:00:00,1.02,6.25,,118,0.04,132,0.45,0.8,132,4.55,,,,,0.11,28.0,0.2,180,-0.08
2024-02-26 09:00:00,1.08,6.45,,118,0.04,124,0.65,0.84,135,4.8,,,,,-0.04,28.0,0.2,180,-0.08
2024-02-26 10:00:00,1.06,6.5,,118,0.04,116,0.7,0.82,137,4.85,,,,,-0.18,28.0,0.2,180,-0.09
2024-02-26 11:00:00,1.06,6.45,,117,0.06,107,0.65,0.78,138,4.85,,,,,-0.25,28.0,0.2,180,-0.09
2024-02-26 12:00:00,1.04,6.4,,117,0.06,99,0.7,0.76,140,4.85,,,,,-0.26,28.0,0.2,180,-0.09
2024-02-26 13:00:00,1.04,6.35,,116,0.08,94,0.85,0.74,141,4.9,,,,,-0.19,28.0,0.4,180,-0.1
2024-02-26 14:00:00,1.04,6.35,,116,0.08,89,1.05,0.72,142,4.95,,,,,-0.07,28.0,0.4,180,-0.1
2024-02-26 15:00:00,1.04,6.3,,115,0.1,84,1.25,0.7,143,4.95,,,,,0.11,28.0,0.4,180,-0.09
2024-02-26 16:00:00,1.04,6.3,,114,0.1,79,1.45,0.74,136,4.9,,,,,0.26,28.0,0.4,180,-0.08
2024-02-26 17:00:00,1.04,6.25,,114,0.12,73,1.6,0.78,129,4.85,,,,,0.33,28.0,0.4,207,-0.07
2024-02-26 18:00:00,1.04,6.25,,113,0.12,68,1.7,0.82,122,4.8,,,,,0.3,28.0,0.4,207,-0.06
