time,wave_height,wave_period,wind_wave_peak_period,wave_direction,wind_wave_height,wind_wave_direction,wind_wave_period,swell_wave_height,swell_wave_direction,swell_wave_period,swell_wave_peak_period,secondary_swell_wave_height,secondary_swell_wave_period,secondary_swell_wave_direction,sea_level_height_msl,sea_surface_temperature,ocean_current_velocity,ocean_current_direction,invert_barometer_height
2023-05-26 00:00:00,0.84,6.9,,77,0.1,0,0.85,0.82,75,5.45,,,,,-0.01,22.4,0.7,180,-0.09
2023-05-26 01:00:00,0.84,6.9,,76,0.12,3,1.05,0.82,75,5.45,,,,,-0.03,22.4,0.7,180,-0.09
2023-05-26 02:00:00,0.86,6.9,,76,0.16,5,1.5,0.82,74,5.4,,,,,-0.05,22.4,0.7,180,-0.1
2023-05-26 03:00:00,0.86,6.85,,75,0.18,8,1.85,0.82,74,5.35,,,,,-0.06,22.3,0.7,180,-0.1
2023-05-26 04:00:00,0.86,6.75,,74,0.2,8,2.0,0.82,74,5.35,,,,,-0.06,22.3,0.7,180,-0.09
2023-05-26 05:00:00,0.88,6.7,,72,0.24,8,2.05,0.8,73,5.35,,,,,-0.06,22.3,0.7,180,-0.09
2023-05-26 06:00:00,0.88,6.6,,71,0.26,8,2.1,0.8,73,5.35,,,,,-0.04,22.3,0.7,180,-0.08
2023-05-26 07:00:00,0.88,6.55,,70,0.26,4,2.1,0.8,72,5.3,,,,,-0.01,22.3,0.7,180,-0.08
2023-05-26 08:00:00,0.86,6.55,,70,0.26,359,2.1,0.8,72,5.3,,,,,0.01,22.3,0.7,180,-0.07
2023-05-26 09:00:00,0.86,6.55,,69,0.26,355,2.1,0.8,71,5.25,,,,,-0.02,22.2,0.7,180,-0.07
2023-05-26 10:00:00,0.86,6.6,,69,0.24,352,2.05,0.78,71,5.25,,,,,-0.09,22.2,0.5,180,-0.08
2023-05-26 11:00:00,0.84,6.7,,70,0.24,348,2.0,0.78,70,5.25,,,,,-0.16,22.3,0.6,162,-0.08
2023-05-26 12:00:00,0.84,6.75,,70,0.22,345,2.0,0.76,70,5.25,,,,,-0.22,22.3,0.6,162,-0.09
2023-05-26 13:00:00,0.84,6.8,,70,0.24,350,2.05,0.74,71,5.3,,,,,-0.27,22.4,0.6,162,-0.09
2023-05-26 14:00:00,0.84,6.85,,70,0.26,356,2.1,0.74,71,5.35,,,,,-0.3,22.4,0.6,162,-0.08
2023-05-26 15:00:00,0.84,6.9,,70,0.28,1,2.15,0.72,72,5.4,,,,,-0.31,22.5,0.6,162,-0.07
2023-05-26 16:00:00,0.84,6.85,,70,0.3,8,2.25,0.7,74,5.5,,,,,-0.3,22.5,0.5,180,-0.06
2023-05-26 17:00:00,0.86,6.8,,70,0.32,14,2.35,0.66,76,5.55,,,,,-0.26,22.6,0.5,180,-0.05
2023-05-26 18:00:00,0.86,6.8,,70,0.34,21,2.4,0.64,78,5.6,,,,,-0.21,22.6,0.7,180,-0.05
2023-05-26 19:00:00,0.88,6.85,,71,0.3,16,2.35,0.7,75,5.55,,,,,-0.12,22.6,0.7,180,-0.05
2023-05-26 20:00:00,0.88,7.0,,71,0.28,12,2.2,0.74,73,5.45,,,,,-0.02,22.6,0.5,180,-0.05
2023-05-26 21:00:00,0.9,7.1,,72,0.24,7,2.1,0.8,70,5.4,,,,,0.05,22.6,0.7,180,-0.05
2023-05-26 22:00:00,0.9,7.2,,73,0.2,1,2.0,0.8,70,5.4,,,,,0.06,22.6,0.7,180,-0.06
2023-05-26 23:00:00,0.9,7.35,,73,0.18,355,1.85,0.82,69,5.4,,,,,0.06,22.5,0.7,180,-0.06
2023-05-27 00:00:00,0.9,7.45,,74,0.14,349,1.75,0.82,69,5.45,,,,,0.05,22.5,0.5,180,-0.06
2023-05-27 01:00:00,0.9,7.5,,74,0.14,347,1.7,0.82,69,5.45,,,,,0.04,22.5,0.5,180,-0.06
2023-05-27 02:00:00,0.9,7.5,,75,0.12,346,1.7,0.84,70,5.5,,,,,0.02,22.5,0.6,162,-0.06
2023-05-27 03:00:00,0.9,7.5,,75,0.12,344,1.7,0.84,70,5.55,,,,,-0.01,22.5,0.6,162,-0.06
2023-05-27 04:00:00,0.94,7.6,,75,0.12,341,1.7,0.88,70,5.65,,,,,-0.04,22.5,0.6,162,-0.06
2023-05-27 05:00:00,0.96,7.7,,74,0.12,337,1.75,0.9,71,5.8,,,,,-0.05,22.5,0.6,162,-0.05
2023-05-27 06:00:00,1.0,7.8,,74,0.12,334,1.7,0.94,71,5.9,,,,,-0.06,22.5,0.6,162,-0.05
2023-05-27 07:00:00,0.98,7.8,,74,0.12,336,1.6,0.92,71,5.9,,,,,-0.04,22.5,0.6,162,-0.05
2023-05-27 08:00:00,0.94,7.7,,74,0.1,337,1.4,0.88,70,5.85,,,,,-0.01,22.5,0.5,180,-0.04
2023-05-27 09:00:00,0.92,7.65,,74,0.1,339,1.3,0.86,70,5.8,,,,,0.01,22.5,0.5,180,-0.04
2023-05-27 10:00:00,0.9,7.65,,74,0.1,341,1.25,0.84,70,5.8,,,,,-0.02,22.5,0.5,180,-0.05
2023-05-27 11:00:00,0.88,7.6,,74,0.1,344,1.25,0.84,71,5.85,,,,,-0.06,22.5,0.5,180,-0.05
2023-05-27 12:00:00,0.86,7.6,,74,0.1,346,1.3,0.82,71,5.85,,,,,-0.09,22.5,0.5,180,-0.05
2023-05-27 13:00:00,0.84,7.55,,74,0.08,323,1.35,0.8,71,5.85,,,,,-0.14,22.5,0.6,162,-0.06
2023-05-27 14:00:00,0.84,7.55,,75,0.06,300,1.45,0.78,70,5.8,,,,,-0.18,22.6,0.6,162,-0.06
2023-05-27 15:00:00,0.82,7.55,,75,0.04,277,1.5,0.76,70,5.8,,,,,-0.21,22.6,0.6,162,-0.05
2023-05-27 16:00:00,0.84,7.6,,75,0.06,253,1.55,0.78,70,5.85,,,,,-0.24,22.8,0.4,153,-0.05
2023-05-27 17:00:00,0.84,7.7,,76,0.1,228,1.55,0.78,71,5.95,,,,,-0.26,22.8,0.3,135,-0.05
2023-05-27 18:00:00,0.86,7.75,,76,0.12,204,1.6,0.8,71,6.05,,,,,-0.25,22.9,0.2,90,-0.05
2023-05-27 19:00:00,0.86,7.7,,78,0.16,200,1.75,0.8,71,6.1,,,,,-0.2,22.9,0.2,90,-0.06
2023-05-27 20:00:00,0.88,7.55,,80,0.18,195,1.9,0.8,72,6.15,,,,,-0.11,22.8,0.3,45,-0.06
2023-05-27 21:00:00,0.88,7.4,,82,0.22,191,2.05,0.8,72,6.2,,,,,0.0,22.8,0.2,0,-0.06
2023-05-27 22:00:00,0.9,7.25,,86,0.26,192,2.15,0.78,72,6.25,,,,,0.1,22.6,0.4,0,-0.06
2023-05-27 23:00:00,0.9,7.1,,89,0.3,192,2.2,0.78,72,6.35,,,,,0.15,22.6,0.4,0,-0.07
2023-05-28 00:00:00,0.92,6.95,,93,0.34,193,2.3,0.76,72,6.4,,,,,0.17,22.5,0.5,0,-0.07
2023-05-28 01:00:00,0.96,6.75,,103,0.44,193,2.5,0.76,72,6.45,,,,,0.19,22.5,0.5,0,-0.08
2023-05-28 02:00:00,1.0,6.5,,114,0.52,192,2.7,0.78,73,6.55,,,,,0.21,22.5,0.7,0,-0.08
