height;period;impact;power;direction;directionMin;total_timestamp;datetime_utc
0.0;0;0.0;0.0;0.0;0.0;1650164400;2022-04-17 03:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650164400;2022-04-17 03:00:00+00:00
0.79755;11;0.2923;46.8533;113.41473;109.81444;1650164400;2022-04-17 03:00:00+00:00
2.33738;12;0.6667;1008.71598;156.41132;144.306705;1650164400;2022-04-17 03:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650164400;2022-04-17 03:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650164400;2022-04-17 03:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650168000;2022-04-17 04:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650168000;2022-04-17 04:00:00+00:00
0.79755;11;0.2923;46.8533;113.41473;109.81444;1650168000;2022-04-17 04:00:00+00:00
2.33738;12;0.6667;1008.71598;156.41132;144.306705;1650168000;2022-04-17 04:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650168000;2022-04-17 04:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650168000;2022-04-17 04:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650171600;2022-04-17 05:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650171600;2022-04-17 05:00:00+00:00
0.79755;11;0.2923;46.8533;113.41473;109.81444;1650171600;2022-04-17 05:00:00+00:00
2.33738;12;0.6667;1008.71598;156.41132;144.306705;1650171600;2022-04-17 05:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650171600;2022-04-17 05:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650171600;2022-04-17 05:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650175200;2022-04-17 06:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650175200;2022-04-17 06:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650175200;2022-04-17 06:00:00+00:00
2.46297;12;0.9315;1520.92768;148.53571;136.791795;1650175200;2022-04-17 06:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650175200;2022-04-17 06:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650175200;2022-04-17 06:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650178800;2022-04-17 07:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650178800;2022-04-17 07:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1650178800;2022-04-17 07:00:00+00:00
2.46297;12;0.9315;1520.92768;148.53571;136.791795;1650178800;2022-04-17 07:00:00+00:00
