height;period;impact;power;direction;directionMin;total_timestamp;datetime_utc
1.06404;12;0.5404;166.98517;138.76935;132.08752;1652788800;2022-05-17 12:00:00+00:00
1.0146;9;0.3637;61.96059;186.77515;179.5359;1652788800;2022-05-17 12:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652788800;2022-05-17 12:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652792400;2022-05-17 13:00:00+00:00
0.21687;7;0.0671;0.29399;67.13403;61.445834999999995;1652792400;2022-05-17 13:00:00+00:00
0.81425;4;0.0;0.0;282.08911;267.63443;1652792400;2022-05-17 13:00:00+00:00
1.06404;12;0.5404;166.98517;138.76935;132.08752;1652792400;2022-05-17 13:00:00+00:00
1.0146;9;0.3637;61.96059;186.77515;179.5359;1652792400;2022-05-17 13:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652792400;2022-05-17 13:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652796000;2022-05-17 14:00:00+00:00
0.21687;7;0.0671;0.29399;67.13403;61.445834999999995;1652796000;2022-05-17 14:00:00+00:00
0.81425;4;0.0;0.0;282.08911;267.63443;1652796000;2022-05-17 14:00:00+00:00
1.06404;12;0.5404;166.98517;138.76935;132.08752;1652796000;2022-05-17 14:00:00+00:00
1.0146;9;0.3637;61.96059;186.77515;179.5359;1652796000;2022-05-17 14:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652796000;2022-05-17 14:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652799600;2022-05-17 15:00:00+00:00
0.20229;7;0.071;0.27514;68.28851;62.143010000000004;1652799600;2022-05-17 15:00:00+00:00
0.64605;4;0.0;0.0;284.16156;267.88133500000004;1652799600;2022-05-17 15:00:00+00:00
0.98108;12;0.5076;128.06745;137.78101;131.44492;1652799600;2022-05-17 15:00:00+00:00
1.05511;10;0.3923;82.68117;187.12878;180.579595;1652799600;2022-05-17 15:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652799600;2022-05-17 15:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652803200;2022-05-17 16:00:00+00:00
0.20229;7;0.071;0.27514;68.28851;62.143010000000004;1652803200;2022-05-17 16:00:00+00:00
0.64605;4;0.0;0.0;284.16156;267.88133500000004;1652803200;2022-05-17 16:00:00+00:00
