timestamp;utcOffset;surf.min;surf.max;surf.plus;surf.humanRelation;surf.raw.min;surf.raw.max;datetime_utc
1689562800;-3;0.9;1.5;False;Waist to head;0.93986;1.46852;2023-07-17 03:00:00+00:00
1689566400;-3;0.9;1.5;False;Waist to head;1.02744;1.60538;2023-07-17 04:00:00+00:00
1689570000;-3;0.9;1.4;False;Waist to shoulder;0.88253;1.37896;2023-07-17 05:00:00+00:00
1689573600;-3;0.9;1.4;False;Waist to shoulder;0.8597;1.34328;2023-07-17 06:00:00+00:00
1689577200;-3;0.9;1.4;False;Waist to shoulder;0.84077;1.3137;2023-07-17 07:00:00+00:00
1689580800;-3;0.9;1.2;False;Waist to chest;0.7813;1.22078;2023-07-17 08:00:00+00:00
1689584400;-3;0.9;1.2;False;Waist to chest;0.76697;1.19839;2023-07-17 09:00:00+00:00
1689588000;-3;0.9;1.2;False;Waist to chest;0.80858;1.2634;2023-07-17 10:00:00+00:00
1689591600;-3;0.9;1.2;False;Waist to chest;0.80597;1.25934;2023-07-17 11:00:00+00:00
1689595200;-3;0.9;1.4;False;Waist to shoulder;0.84063;1.31349;2023-07-17 12:00:00+00:00
1689598800;-3;0.9;1.4;False;Waist to shoulder;0.84568;1.32138;2023-07-17 13:00:00+00:00
1689602400;-3;0.9;1.4;False;Waist to shoulder;0.85252;1.33206;2023-07-17 14:00:00+00:00
1689606000;-3;0.9;1.4;False;Waist to shoulder;0.86342;1.34909;2023-07-17 15:00:00+00:00
1689609600;-3;0.9;1.4;False;Waist to shoulder;0.85379;1.33405;2023-07-17 16:00:00+00:00
1689613200;-3;0.9;1.4;False;Waist to shoulder;0.8727;1.3636;2023-07-17 17:00:00+00:00
1689616800;-3;0.9;1.2;False;Waist to chest;0.80986;1.2654;2023-07-17 18:00:00+00:00
1689620400;-3;0.9;1.2;False;Waist to chest;0.82567;1.29011;2023-07-17 19:00:00+00:00
1689624000;-3;0.9;1.4;False;Waist to shoulder;0.87375;1.36524;2023-07-17 20:00:00+00:00
1689627600;-3;0.9;1.5;False;Waist to head;0.96389;1.50607;2023-07-17 21:00:00+00:00
1689631200;-3;0.9;1.5;False;Waist to head;1.00044;1.56318;2023-07-17 22:00:00+00:00
1689634800;-3;0.9;1.5;False;Waist to head;1.03014;1.60959;2023-07-17 23:00:00+00:00
1689638400;-3;1.2;1.5;False;Chest to head;1.07247;1.67574;2023-07-18 00:00:00+00:00
1689642000;-3;1.2;1.8;False;Chest to overhead;1.10918;1.73309;2023-07-18 01:00:00+00:00
1689645600;-3;1.2;1.8;False;Chest to overhead;1.09748;1.71481;2023-07-18 02:00:00+00:00
1689649200;-3;1.2;1.8;False;Chest to overhead;1.11769;1.7464;2023-07-18 03:00:00+00:00
1689652800;-3;1.2;1.8;False;Chest to overhead;1.12702;1.76096;2023-07-18 04:00:00+00:00
1689656400;-3;1.2;1.8;False;Chest to overhead;1.13633;1.77551;2023-07-18 05:00:00+00:00
1689660000;-3;1.2;1.8;False;Chest to overhead;1.14678;1.79184;2023-07-18 06:00:00+00:00
1689663600;-3;1.2;1.8;False;Chest to overhead;1.16487;1.82011;2023-07-18 07:00:00+00:00
1689667200;-3;0.9;1.5;False;Waist to head;0.93445;1.46009;2023-07-18 08:00:00+00:00
1689670800;-3;0.9;1.5;False;Waist to head;0.95883;1.49817;2023-07-18 09:00:00+00:00
1689674400;-3;0.9;1.5;False;Waist to head;0.9756;1.52438;2023-07-18 10:00:00+00:00
1689678000;-3;0.9;1.5;False;Waist to head;0.9781;1.52829;2023-07-18 11:00:00+00:00
1689681600;-3;0.9;1.5;False;Waist to head;0.97171;1.5183;2023-07-18 12:00:00+00:00
1689685200;-3;1.2;1.8;False;Chest to overhead;1.14407;1.78762;2023-07-18 13:00:00+00:00
1689688800;-3;1.2;1.8;False;Chest to overhead;1.16103;1.81411;2023-07-18 14:00:00+00:00
1689692400;-3;1.2;1.8;False;Chest to overhead;1.13904;1.77975;2023-07-18 15:00:00+00:00
1689696000;-3;1.2;1.8;False;Chest to overhead;1.11269;1.73858;2023-07-18 16:00:00+00:00
1689699600;-3;1.2;1.8;False;Chest to overhead;1.09856;1.71649;2023-07-18 17:00:00+00:00
