timestamp;utcOffset;type;height;datetime_utc
1651374000;-3;NORMAL;0.49;2022-05-01 03:00:00+00:00
1651377600;-3;NORMAL;0.68;2022-05-01 04:00:00+00:00
1651381200;-3;NORMAL;0.77;2022-05-01 05:00:00+00:00
1651382364;-3;HIGH;0.77;2022-05-01 05:19:24+00:00
1651384800;-3;NORMAL;0.75;2022-05-01 06:00:00+00:00
1651388400;-3;NORMAL;0.66;2022-05-01 07:00:00+00:00
1651392000;-3;NORMAL;0.51;2022-05-01 08:00:00+00:00
1651395600;-3;NORMAL;0.37;2022-05-01 09:00:00+00:00
1651399200;-3;NORMAL;0.25;2022-05-01 10:00:00+00:00
1651402800;-3;NORMAL;0.15;2022-05-01 11:00:00+00:00
1651406400;-3;NORMAL;0.08;2022-05-01 12:00:00+00:00
1651408735;-3;LOW;0.06;2022-05-01 12:38:55+00:00
1651410000;-3;NORMAL;0.07;2022-05-01 13:00:00+00:00
1651413600;-3;NORMAL;0.19;2022-05-01 14:00:00+00:00
1651417200;-3;NORMAL;0.42;2022-05-01 15:00:00+00:00
1651420800;-3;NORMAL;0.65;2022-05-01 16:00:00+00:00
1651424400;-3;NORMAL;0.81;2022-05-01 17:00:00+00:00
1651427491;-3;HIGH;0.86;2022-05-01 17:51:31+00:00
1651428000;-3;NORMAL;0.86;2022-05-01 18:00:00+00:00
1651431600;-3;NORMAL;0.8;2022-05-01 19:00:00+00:00
1651435200;-3;NORMAL;0.67;2022-05-01 20:00:00+00:00
1651438800;-3;NORMAL;0.53;2022-05-01 21:00:00+00:00
1651442400;-3;NORMAL;0.42;2022-05-01 22:00:00+00:00
1651446000;-3;NORMAL;0.32;2022-05-01 23:00:00+00:00
1651449600;-3;NORMAL;0.23;2022-05-02 00:00:00+00:00
1651453200;-3;NORMAL;0.18;2022-05-02 01:00:00+00:00
1651453501;-3;LOW;0.18;2022-05-02 01:05:01+00:00
1651456800;-3;NORMAL;0.24;2022-05-02 02:00:00+00:00
1651460400;-3;NORMAL;0.4;2022-05-02 03:00:00+00:00
1651464000;-3;NORMAL;0.58;2022-05-02 04:00:00+00:00
1651467600;-3;NORMAL;0.73;2022-05-02 05:00:00+00:00
1651470599;-3;HIGH;0.77;2022-05-02 05:49:59+00:00
1651471200;-3;NORMAL;0.77;2022-05-02 06:00:00+00:00
1651474800;-3;NORMAL;0.71;2022-05-02 07:00:00+00:00
1651478400;-3;NORMAL;0.56;2022-05-02 08:00:00+00:00
1651482000;-3;NORMAL;0.41;2022-05-02 09:00:00+00:00
1651485600;-3;NORMAL;0.29;2022-05-02 10:00:00+00:00
1651489200;-3;NORMAL;0.19;2022-05-02 11:00:00+00:00
1651492800;-3;NORMAL;0.11;2022-05-02 12:00:00+00:00
1651496400;-3;NORMAL;0.07;2022-05-02 13:00:00+00:00
1651496565;-3;LOW;0.07;2022-05-02 13:02:45+00:00
1651500000;-3;NORMAL;0.13;2022-05-02 14:00:00+00:00
1651503600;-3;NORMAL;0.29;2022-05-02 15:00:00+00:00
1651507200;-3;NORMAL;0.5;2022-05-02 16:00:00+00:00
1651510800;-3;NORMAL;0.71;2022-05-02 17:00:00+00:00
1651514400;-3;NORMAL;0.83;2022-05-02 18:00:00+00:00
1651515857;-3;HIGH;0.85;2022-05-02 18:24:17+00:00
1651518000;-3;NORMAL;0.83;2022-05-02 19:00:00+00:00
1651521600;-3;NORMAL;0.73;2022-05-02 20:00:00+00:00
1651525200;-3;NORMAL;0.6;2022-05-02 21:00:00+00:00
1651528800;-3;NORMAL;0.49;2022-05-02 22:00:00+00:00
1651532400;-3;NORMAL;0.4;2022-05-02 23:00:00+00:00
