timestamp;utcOffset;rating.key;rating.value;datetime_utc
1732154400;-3;VERY_POOR;0;2024-11-21 02:00:00+00:00
1732158000;-3;POOR;1;2024-11-21 03:00:00+00:00
1732161600;-3;POOR;1;2024-11-21 04:00:00+00:00
1732165200;-3;POOR;1;2024-11-21 05:00:00+00:00
1732168800;-3;POOR;1;2024-11-21 06:00:00+00:00
1732172400;-3;POOR;1;2024-11-21 07:00:00+00:00
1732176000;-3;POOR;1;2024-11-21 08:00:00+00:00
1732179600;-3;POOR;1;2024-11-21 09:00:00+00:00
1732183200;-3;POOR;1;2024-11-21 10:00:00+00:00
1732186800;-3;POOR;1;2024-11-21 11:00:00+00:00
1732190400;-3;VERY_POOR;0;2024-11-21 12:00:00+00:00
1732194000;-3;VERY_POOR;0;2024-11-21 13:00:00+00:00
1732197600;-3;VERY_POOR;0;2024-11-21 14:00:00+00:00
1732201200;-3;VERY_POOR;0;2024-11-21 15:00:00+00:00
1732204800;-3;VERY_POOR;0;2024-11-21 16:00:00+00:00
1732208400;-3;VERY_POOR;0;2024-11-21 17:00:00+00:00
1732212000;-3;VERY_POOR;0;2024-11-21 18:00:00+00:00
1732215600;-3;VERY_POOR;0;2024-11-21 19:00:00+00:00
1732219200;-3;VERY_POOR;0;2024-11-21 20:00:00+00:00
1732222800;-3;VERY_POOR;0;2024-11-21 21:00:00+00:00
1732226400;-3;VERY_POOR;0;2024-11-21 22:00:00+00:00
1732230000;-3;VERY_POOR;0;2024-11-21 23:00:00+00:00
1732233600;-3;VERY_POOR;0;2024-11-22 00:00:00+00:00
1732237200;-3;VERY_POOR;0;2024-11-22 01:00:00+00:00
1732240800;-3;VERY_POOR;0;2024-11-22 02:00:00+00:00
1732244400;-3;VERY_POOR;0;2024-11-22 03:00:00+00:00
1732248000;-3;VERY_POOR;0;2024-11-22 04:00:00+00:00
1732251600;-3;VERY_POOR;0;2024-11-22 05:00:00+00:00
1732255200;-3;POOR;1;2024-11-22 06:00:00+00:00
1732258800;-3;POOR;1;2024-11-22 07:00:00+00:00
1732262400;-3;POOR;1;2024-11-22 08:00:00+00:00
1732266000;-3;POOR_TO_FAIR;2;2024-11-22 09:00:00+00:00
