timestamp;utcOffset;surf.min;surf.max;surf.plus;surf.humanRelation;surf.raw.min;surf.raw.max;datetime_utc
1639710000;-3;0.9;1.2;False;Waist to chest;0.73565;1.14946;2021-12-17 03:00:00+00:00
1639713600;-3;0.9;1.2;False;Waist to chest;0.73565;1.14946;2021-12-17 04:00:00+00:00
1639717200;-3;0.9;1.2;False;Waist to chest;0.73565;1.14946;2021-12-17 05:00:00+00:00
1639720800;-3;0.9;1.5;False;Waist to head;0.93054;1.45397;2021-12-17 06:00:00+00:00
1639724400;-3;0.9;1.5;False;Waist to head;0.93054;1.45397;2021-12-17 07:00:00+00:00
1639728000;-3;0.9;1.5;False;Waist to head;0.93054;1.45397;2021-12-17 08:00:00+00:00
1639731600;-3;0.9;1.4;False;Waist to shoulder;0.84325;1.31757;2021-12-17 09:00:00+00:00
1639735200;-3;0.9;1.4;False;Waist to shoulder;0.84325;1.31757;2021-12-17 10:00:00+00:00
1639738800;-3;0.9;1.4;False;Waist to shoulder;0.84325;1.31757;2021-12-17 11:00:00+00:00
1639742400;-3;0.6;1.1;False;Thigh to stomach;0.66969;1.04639;2021-12-17 12:00:00+00:00
1639746000;-3;0.6;1.1;False;Thigh to stomach;0.66969;1.04639;2021-12-17 13:00:00+00:00
1639749600;-3;0.6;1.1;False;Thigh to stomach;0.66969;1.04639;2021-12-17 14:00:00+00:00
1639753200;-3;0.6;1.1;False;Thigh to stomach;0.71361;1.11502;2021-12-17 15:00:00+00:00
1639756800;-3;0.6;1.1;False;Thigh to stomach;0.71361;1.11502;2021-12-17 16:00:00+00:00
1639760400;-3;0.6;1.1;False;Thigh to stomach;0.71361;1.11502;2021-12-17 17:00:00+00:00
1639764000;-3;0.6;1.1;False;Thigh to stomach;0.69066;1.07916;2021-12-17 18:00:00+00:00
1639767600;-3;0.6;1.1;False;Thigh to stomach;0.69066;1.07916;2021-12-17 19:00:00+00:00
1639771200;-3;0.6;1.1;False;Thigh to stomach;0.69066;1.07916;2021-12-17 20:00:00+00:00
1639774800;-3;0.9;1.2;False;Waist to chest;0.8233;1.2864;2021-12-17 21:00:00+00:00
1639778400;-3;0.9;1.2;False;Waist to chest;0.8233;1.2864;2021-12-17 22:00:00+00:00
1639782000;-3;0.9;1.2;False;Waist to chest;0.8233;1.2864;2021-12-17 23:00:00+00:00
1639785600;-3;0.9;1.4;False;Waist to shoulder;0.8759;1.36859;2021-12-18 00:00:00+00:00
1639789200;-3;0.9;1.4;False;Waist to shoulder;0.8759;1.36859;2021-12-18 01:00:00+00:00
1639792800;-3;0.9;1.4;False;Waist to shoulder;0.8759;1.36859;2021-12-18 02:00:00+00:00
1639796400;-3;0.9;1.2;False;Waist to chest;0.79119;1.23624;2021-12-18 03:00:00+00:00
1639800000;-3;0.9;1.2;False;Waist to chest;0.79119;1.23624;2021-12-18 04:00:00+00:00
1639803600;-3;0.9;1.2;False;Waist to chest;0.79119;1.23624;2021-12-18 05:00:00+00:00
