timestamp;utcOffset;surf.min;surf.max;surf.plus;surf.humanRelation;surf.raw.min;surf.raw.max;datetime_utc
1686970800;-3;1.2;1.8;False;Chest to overhead;1.2045;1.88203;2023-06-17 03:00:00+00:00
1686974400;-3;1.2;2.0;False;Chest to 0.3m overhead;1.24516;1.94555;2023-06-17 04:00:00+00:00
1686978000;-3;1.2;2.0;False;Chest to 0.3m overhead;1.2786;1.99781;2023-06-17 05:00:00+00:00
1686981600;-3;1.2;2.0;False;Chest to 0.3m overhead;1.31525;2.05508;2023-06-17 06:00:00+00:00
1686985200;-3;1.5;2.1;False;Head to 0.6m overhead;1.35519;2.11748;2023-06-17 07:00:00+00:00
1686988800;-3;1.5;2.1;False;Head to 0.6m overhead;1.39092;2.17331;2023-06-17 08:00:00+00:00
1686992400;-3;1.5;2.4;False;Head to well overhead;1.48245;2.31633;2023-06-17 09:00:00+00:00
1686996000;-3;1.5;2.4;False;Head to well overhead;1.50537;2.35213;2023-06-17 10:00:00+00:00
1686999600;-3;1.5;2.4;False;Head to well overhead;1.51231;2.36298;2023-06-17 11:00:00+00:00
1687003200;-3;1.5;2.4;False;Head to well overhead;1.50827;2.35667;2023-06-17 12:00:00+00:00
1687006800;-3;1.5;2.4;False;Head to well overhead;1.49717;2.33933;2023-06-17 13:00:00+00:00
1687010400;-3;1.5;2.4;False;Head to well overhead;1.48636;2.32243;2023-06-17 14:00:00+00:00
1687014000;-3;1.5;2.4;False;Head to well overhead;1.47902;2.31097;2023-06-17 15:00:00+00:00
1687017600;-3;1.5;2.4;False;Head to well overhead;1.47766;2.30884;2023-06-17 16:00:00+00:00
1687021200;-3;1.5;2.4;False;Head to well overhead;1.53015;2.39086;2023-06-17 17:00:00+00:00
1687024800;-3;1.5;2.4;False;Head to well overhead;1.53271;2.39486;2023-06-17 18:00:00+00:00
1687028400;-3;1.5;2.4;False;Head to well overhead;1.53308;2.39544;2023-06-17 19:00:00+00:00
1687032000;-3;1.5;2.4;False;Head to well overhead;1.53354;2.39616;2023-06-17 20:00:00+00:00
1687035600;-3;1.5;2.4;False;Head to well overhead;1.52749;2.38671;2023-06-17 21:00:00+00:00
1687039200;-3;1.5;2.4;False;Head to well overhead;1.51863;2.37286;2023-06-17 22:00:00+00:00
1687042800;-3;1.5;2.4;False;Head to well overhead;1.50153;2.34614;2023-06-17 23:00:00+00:00
1687046400;-3;1.5;2.4;False;Head to well overhead;1.48216;2.31587;2023-06-18 00:00:00+00:00
1687050000;-3;1.5;2.1;False;Head to 0.6m overhead;1.44836;2.26306;2023-06-18 01:00:00+00:00
1687053600;-3;1.5;2.1;False;Head to 0.6m overhead;1.41922;2.21752;2023-06-18 02:00:00+00:00
1687057200;-3;1.5;2.1;False;Head to 0.6m overhead;1.39062;2.17285;2023-06-18 03:00:00+00:00
1687060800;-3;1.5;2.1;False;Head to 0.6m overhead;1.36799;2.13748;2023-06-18 04:00:00+00:00
1687064400;-3;1.5;2.1;False;Head to 0.6m overhead;1.34688;2.10449;2023-06-18 05:00:00+00:00
1687068000;-3;1.5;2.1;False;Head to 0.6m overhead;1.36806;2.13759;2023-06-18 06:00:00+00:00
1687071600;-3;1.5;2.1;False;Head to 0.6m overhead;1.34688;2.1045;2023-06-18 07:00:00+00:00
1687075200;-3;1.5;2.1;False;Head to 0.6m overhead;1.32603;2.07193;2023-06-18 08:00:00+00:00
1687078800;-3;1.2;2.0;False;Chest to 0.3m overhead;1.26676;1.97932;2023-06-18 09:00:00+00:00
1687082400;-3;1.2;2.0;False;Chest to 0.3m overhead;1.24948;1.95232;2023-06-18 10:00:00+00:00
1687086000;-3;1.2;2.0;False;Chest to 0.3m overhead;1.23536;1.93024;2023-06-18 11:00:00+00:00
1687089600;-3;1.2;2.0;False;Chest to 0.3m overhead;1.22241;1.91002;2023-06-18 12:00:00+00:00
1687093200;-3;1.2;1.8;False;Chest to overhead;1.20768;1.887;2023-06-18 13:00:00+00:00
1687096800;-3;1.2;1.8;False;Chest to overhead;1.18741;1.85533;2023-06-18 14:00:00+00:00
1687100400;-3;1.2;1.8;False;Chest to overhead;1.16631;1.82235;2023-06-18 15:00:00+00:00
1687104000;-3;1.2;1.8;False;Chest to overhead;1.14779;1.79342;2023-06-18 16:00:00+00:00
1687107600;-3;1.2;1.8;False;Chest to overhead;1.13553;1.77426;2023-06-18 17:00:00+00:00
1687111200;-3;1.2;1.8;False;Chest to overhead;1.16341;1.81783;2023-06-18 18:00:00+00:00
1687114800;-3;1.2;1.8;False;Chest to overhead;1.16166;1.81509;2023-06-18 19:00:00+00:00
1687118400;-3;1.2;1.8;False;Chest to overhead;1.16102;1.8141;2023-06-18 20:00:00+00:00
1687122000;-3;1.2;1.8;False;Chest to overhead;1.15947;1.81167;2023-06-18 21:00:00+00:00
1687125600;-3;1.2;1.8;False;Chest to overhead;1.15462;1.8041;2023-06-18 22:00:00+00:00
1687129200;-3;1.2;1.8;False;Chest to overhead;1.14903;1.79535;2023-06-18 23:00:00+00:00
1687132800;-3;1.2;1.8;False;Chest to overhead;1.14043;1.78192;2023-06-19 00:00:00+00:00
1687136400;-3;1.2;1.8;False;Chest to overhead;1.12999;1.76561;2023-06-19 01:00:00+00:00
1687140000;-3;1.2;1.8;False;Chest to overhead;1.11696;1.74524;2023-06-19 02:00:00+00:00
1687143600;-3;1.2;1.8;False;Chest to overhead;1.10229;1.72232;2023-06-19 03:00:00+00:00
1687147200;-3;1.2;1.8;False;Chest to overhead;1.08269;1.6917;2023-06-19 04:00:00+00:00
1687150800;-3;0.9;1.5;False;Waist to head;1.0606;1.65719;2023-06-19 05:00:00+00:00
1687154400;-3;0.9;1.5;False;Waist to head;1.03641;1.61939;2023-06-19 06:00:00+00:00
1687158000;-3;0.9;1.5;False;Waist to head;1.01317;1.58307;2023-06-19 07:00:00+00:00
1687161600;-3;0.9;1.5;False;Waist to head;0.98951;1.54612;2023-06-19 08:00:00+00:00
1687165200;-3;0.9;1.5;False;Waist to head;0.96594;1.50928;2023-06-19 09:00:00+00:00
1687168800;-3;0.9;1.5;False;Waist to head;0.94354;1.47428;2023-06-19 10:00:00+00:00
1687172400;-3;0.9;1.4;False;Waist to shoulder;0.92429;1.4442;2023-06-19 11:00:00+00:00
