timestamp;utcOffset;surf.min;surf.max;surf.plus;surf.humanRelation;surf.raw.min;surf.raw.max;datetime_utc
1664593200;-3;0.9;1.2;False;Waist to chest;0.80287;1.25449;2022-10-01 03:00:00+00:00
1664596800;-3;0.9;1.2;False;Waist to chest;0.80287;1.25449;2022-10-01 04:00:00+00:00
1664600400;-3;0.9;1.2;False;Waist to chest;0.80287;1.25449;2022-10-01 05:00:00+00:00
1664604000;-3;0.9;1.2;False;Waist to chest;0.76238;1.19122;2022-10-01 06:00:00+00:00
1664607600;-3;0.9;1.2;False;Waist to chest;0.76238;1.19122;2022-10-01 07:00:00+00:00
1664611200;-3;0.9;1.2;False;Waist to chest;0.76238;1.19122;2022-10-01 08:00:00+00:00
1664614800;-3;0.6;1.1;False;Thigh to stomach;0.71437;1.1162;2022-10-01 09:00:00+00:00
1664618400;-3;0.6;1.1;False;Thigh to stomach;0.71437;1.1162;2022-10-01 10:00:00+00:00
1664622000;-3;0.6;1.1;False;Thigh to stomach;0.71437;1.1162;2022-10-01 11:00:00+00:00
1664625600;-3;0.9;1.2;False;Waist to chest;0.81646;1.27571;2022-10-01 12:00:00+00:00
1664629200;-3;0.9;1.2;False;Waist to chest;0.81646;1.27571;2022-10-01 13:00:00+00:00
1664632800;-3;0.9;1.2;False;Waist to chest;0.81646;1.27571;2022-10-01 14:00:00+00:00
1664636400;-3;0.9;1.5;False;Waist to head;1.04924;1.63943;2022-10-01 15:00:00+00:00
1664640000;-3;0.9;1.5;False;Waist to head;1.04924;1.63943;2022-10-01 16:00:00+00:00
1664643600;-3;0.9;1.5;False;Waist to head;1.04924;1.63943;2022-10-01 17:00:00+00:00
1664647200;-3;0.9;1.5;False;Waist to head;1.04707;1.63605;2022-10-01 18:00:00+00:00
1664650800;-3;0.9;1.5;False;Waist to head;1.04707;1.63605;2022-10-01 19:00:00+00:00
1664654400;-3;0.9;1.5;False;Waist to head;1.04707;1.63605;2022-10-01 20:00:00+00:00
1664658000;-3;0.9;1.5;False;Waist to head;1.04022;1.62535;2022-10-01 21:00:00+00:00
1664661600;-3;0.9;1.5;False;Waist to head;1.04022;1.62535;2022-10-01 22:00:00+00:00
1664665200;-3;0.9;1.5;False;Waist to head;1.04022;1.62535;2022-10-01 23:00:00+00:00
1664668800;-3;0.9;1.5;False;Waist to head;1.02189;1.59671;2022-10-02 00:00:00+00:00
1664672400;-3;0.9;1.5;False;Waist to head;1.02189;1.59671;2022-10-02 01:00:00+00:00
1664676000;-3;0.9;1.5;False;Waist to head;1.02189;1.59671;2022-10-02 02:00:00+00:00
