timestamp;utcOffset;type;height;datetime_utc
1676602800;-3;NORMAL;0.72;2023-02-17 03:00:00+00:00
1676606400;-3;NORMAL;0.76;2023-02-17 04:00:00+00:00
1676608076;-3;HIGH;0.77;2023-02-17 04:27:56+00:00
1676610000;-3;NORMAL;0.76;2023-02-17 05:00:00+00:00
1676613600;-3;NORMAL;0.75;2023-02-17 06:00:00+00:00
1676617200;-3;NORMAL;0.68;2023-02-17 07:00:00+00:00
1676620800;-3;NORMAL;0.56;2023-02-17 08:00:00+00:00
1676624400;-3;NORMAL;0.42;2023-02-17 09:00:00+00:00
1676628000;-3;NORMAL;0.3;2023-02-17 10:00:00+00:00
1676631600;-3;NORMAL;0.24;2023-02-17 11:00:00+00:00
1676633079;-3;LOW;0.24;2023-02-17 11:24:39+00:00
1676635200;-3;NORMAL;0.25;2023-02-17 12:00:00+00:00
1676638800;-3;NORMAL;0.36;2023-02-17 13:00:00+00:00
1676642400;-3;NORMAL;0.51;2023-02-17 14:00:00+00:00
1676646000;-3;NORMAL;0.61;2023-02-17 15:00:00+00:00
1676647800;-3;HIGH;0.62;2023-02-17 15:30:00+00:00
1676649600;-3;NORMAL;0.61;2023-02-17 16:00:00+00:00
1676653200;-3;NORMAL;0.58;2023-02-17 17:00:00+00:00
1676656800;-3;NORMAL;0.53;2023-02-17 18:00:00+00:00
1676660400;-3;NORMAL;0.45;2023-02-17 19:00:00+00:00
1676664000;-3;NORMAL;0.33;2023-02-17 20:00:00+00:00
1676667600;-3;NORMAL;0.18;2023-02-17 21:00:00+00:00
1676671200;-3;NORMAL;0.07;2023-02-17 22:00:00+00:00
1676674800;-3;NORMAL;0.01;2023-02-17 23:00:00+00:00
1676675672;-3;LOW;0.01;2023-02-17 23:14:32+00:00
1676678400;-3;NORMAL;0.04;2023-02-18 00:00:00+00:00
1676682000;-3;NORMAL;0.2;2023-02-18 01:00:00+00:00
1676685600;-3;NORMAL;0.44;2023-02-18 02:00:00+00:00
1676689200;-3;NORMAL;0.66;2023-02-18 03:00:00+00:00
1676692800;-3;NORMAL;0.78;2023-02-18 04:00:00+00:00
1676696400;-3;NORMAL;0.83;2023-02-18 05:00:00+00:00
1676697834;-3;HIGH;0.83;2023-02-18 05:23:54+00:00
1676700000;-3;NORMAL;0.82;2023-02-18 06:00:00+00:00
1676703600;-3;NORMAL;0.77;2023-02-18 07:00:00+00:00
1676707200;-3;NORMAL;0.66;2023-02-18 08:00:00+00:00
1676710800;-3;NORMAL;0.51;2023-02-18 09:00:00+00:00
1676714400;-3;NORMAL;0.37;2023-02-18 10:00:00+00:00
1676718000;-3;NORMAL;0.26;2023-02-18 11:00:00+00:00
1676721600;-3;NORMAL;0.21;2023-02-18 12:00:00+00:00
1676721905;-3;LOW;0.21;2023-02-18 12:05:05+00:00
1676725200;-3;NORMAL;0.27;2023-02-18 13:00:00+00:00
1676728800;-3;NORMAL;0.45;2023-02-18 14:00:00+00:00
1676732400;-3;NORMAL;0.62;2023-02-18 15:00:00+00:00
1676736000;-3;NORMAL;0.7;2023-02-18 16:00:00+00:00
1676737271;-3;HIGH;0.7;2023-02-18 16:21:11+00:00
1676739600;-3;NORMAL;0.7;2023-02-18 17:00:00+00:00
