timestamp;utcOffset;speed;direction;directionType;gust;optimalScore;datetime_utc
1646103600;-3;28.26004;228.31983;Cross-shore;28.49312;2;2022-03-01 03:00:00+00:00
1646107200;-3;28.26004;228.31983;Cross-shore;28.49312;2;2022-03-01 04:00:00+00:00
1646110800;-3;28.26004;228.31983;Cross-shore;28.49312;2;2022-03-01 05:00:00+00:00
1646114400;-3;3.52029;278.59342;Offshore;3.60527;2;2022-03-01 06:00:00+00:00
1646118000;-3;3.52029;278.59342;Offshore;3.60527;2;2022-03-01 07:00:00+00:00
1646121600;-3;3.52029;278.59342;Offshore;3.60527;2;2022-03-01 08:00:00+00:00
1646125200;-3;24.64048;206.19035;Cross-shore;26.64585;0;2022-03-01 09:00:00+00:00
1646128800;-3;24.64048;206.19035;Cross-shore;26.64585;0;2022-03-01 10:00:00+00:00
1646132400;-3;24.64048;206.19035;Cross-shore;26.64585;0;2022-03-01 11:00:00+00:00
1646136000;-3;22.85939;209.34648;Cross-shore;25.20099;0;2022-03-01 12:00:00+00:00
1646139600;-3;22.85939;209.34648;Cross-shore;25.20099;0;2022-03-01 13:00:00+00:00
1646143200;-3;22.85939;209.34648;Cross-shore;25.20099;0;2022-03-01 14:00:00+00:00
1646146800;-3;23.93139;202.82756;Cross-shore;27.36298;0;2022-03-01 15:00:00+00:00
1646150400;-3;23.93139;202.82756;Cross-shore;27.36298;0;2022-03-01 16:00:00+00:00
1646154000;-3;23.93139;202.82756;Cross-shore;27.36298;0;2022-03-01 17:00:00+00:00
1646157600;-3;26.80068;188.07191;Onshore;29.62265;0;2022-03-01 18:00:00+00:00
1646161200;-3;26.80068;188.07191;Onshore;29.62265;0;2022-03-01 19:00:00+00:00
1646164800;-3;26.80068;188.07191;Onshore;29.62265;0;2022-03-01 20:00:00+00:00
1646168400;-3;23.32493;177.84046;Onshore;25.92018;0;2022-03-01 21:00:00+00:00
1646172000;-3;23.32493;177.84046;Onshore;25.92018;0;2022-03-01 22:00:00+00:00
1646175600;-3;23.32493;177.84046;Onshore;25.92018;0;2022-03-01 23:00:00+00:00
1646179200;-3;16.18639;155.24001;Onshore;17.29678;0;2022-03-02 00:00:00+00:00
1646182800;-3;16.18639;155.24001;Onshore;17.29678;0;2022-03-02 01:00:00+00:00
1646186400;-3;16.18639;155.24001;Onshore;17.29678;0;2022-03-02 02:00:00+00:00
1646190000;-3;12.47398;140.18156;Onshore;13.38471;0;2022-03-02 03:00:00+00:00
1646193600;-3;12.47398;140.18156;Onshore;13.38471;0;2022-03-02 04:00:00+00:00
1646197200;-3;12.47398;140.18156;Onshore;13.38471;0;2022-03-02 05:00:00+00:00
1646200800;-3;9.86329;116.66049;Onshore;11.1667;0;2022-03-02 06:00:00+00:00
1646204400;-3;9.86329;116.66049;Onshore;11.1667;0;2022-03-02 07:00:00+00:00
1646208000;-3;9.86329;116.66049;Onshore;11.1667;0;2022-03-02 08:00:00+00:00
1646211600;-3;9.92527;122.86149;Onshore;10.44;0;2022-03-02 09:00:00+00:00
1646215200;-3;9.92527;122.86149;Onshore;10.44;0;2022-03-02 10:00:00+00:00
1646218800;-3;9.92527;122.86149;Onshore;10.44;0;2022-03-02 11:00:00+00:00
1646222400;-3;8.19578;80.99662;Onshore;8.19578;2;2022-03-02 12:00:00+00:00
1646226000;-3;8.19578;80.99662;Onshore;8.19578;2;2022-03-02 13:00:00+00:00
1646229600;-3;8.19578;80.99662;Onshore;8.19578;2;2022-03-02 14:00:00+00:00
1646233200;-3;8.32532;69.21968;Cross-shore;8.67257;2;2022-03-02 15:00:00+00:00
1646236800;-3;8.32532;69.21968;Cross-shore;8.67257;2;2022-03-02 16:00:00+00:00
1646240400;-3;8.32532;69.21968;Cross-shore;8.67257;2;2022-03-02 17:00:00+00:00
1646244000;-3;8.30806;54.14209;Cross-shore;9.01397;2;2022-03-02 18:00:00+00:00
1646247600;-3;8.30806;54.14209;Cross-shore;9.01397;2;2022-03-02 19:00:00+00:00
1646251200;-3;8.30806;54.14209;Cross-shore;9.01397;2;2022-03-02 20:00:00+00:00
1646254800;-3;5.13976;52.53916;Cross-shore;6.1885;2;2022-03-02 21:00:00+00:00
1646258400;-3;5.13976;52.53916;Cross-shore;6.1885;2;2022-03-02 22:00:00+00:00
1646262000;-3;5.13976;52.53916;Cross-shore;6.1885;2;2022-03-02 23:00:00+00:00
1646265600;-3;11.49799;355.28744;Offshore;12.24675;0;2022-03-03 00:00:00+00:00
1646269200;-3;11.49799;355.28744;Offshore;12.24675;0;2022-03-03 01:00:00+00:00
1646272800;-3;11.49799;355.28744;Offshore;12.24675;0;2022-03-03 02:00:00+00:00
1646276400;-3;7.27705;324.56585;Offshore;7.27705;2;2022-03-03 03:00:00+00:00
1646280000;-3;7.27705;324.56585;Offshore;7.27705;2;2022-03-03 04:00:00+00:00
1646283600;-3;7.27705;324.56585;Offshore;7.27705;2;2022-03-03 05:00:00+00:00
1646287200;-3;10.25537;210.55612;Cross-shore;10.25537;0;2022-03-03 06:00:00+00:00
1646290800;-3;10.25537;210.55612;Cross-shore;10.25537;0;2022-03-03 07:00:00+00:00
1646294400;-3;10.25537;210.55612;Cross-shore;10.25537;0;2022-03-03 08:00:00+00:00
1646298000;-3;4.44626;205.81996;Cross-shore;4.68062;2;2022-03-03 09:00:00+00:00
1646301600;-3;4.44626;205.81996;Cross-shore;4.68062;2;2022-03-03 10:00:00+00:00
1646305200;-3;4.44626;205.81996;Cross-shore;4.68062;2;2022-03-03 11:00:00+00:00
1646308800;-3;8.79261;196.87094;Onshore;9.0468;0;2022-03-03 12:00:00+00:00
1646312400;-3;8.79261;196.87094;Onshore;9.0468;0;2022-03-03 13:00:00+00:00
1646316000;-3;8.79261;196.87094;Onshore;9.0468;0;2022-03-03 14:00:00+00:00
1646319600;-3;1.71459;332.4582;Offshore;7.95517;2;2022-03-03 15:00:00+00:00
1646323200;-3;1.71459;332.4582;Offshore;7.95517;2;2022-03-03 16:00:00+00:00
1646326800;-3;1.71459;332.4582;Offshore;7.95517;2;2022-03-03 17:00:00+00:00
1646330400;-3;15.31631;209.57163;Cross-shore;15.31631;0;2022-03-03 18:00:00+00:00
1646334000;-3;15.31631;209.57163;Cross-shore;15.31631;0;2022-03-03 19:00:00+00:00
1646337600;-3;15.31631;209.57163;Cross-shore;15.31631;0;2022-03-03 20:00:00+00:00
1646341200;-3;10.97624;181.88945;Onshore;11.5661;0;2022-03-03 21:00:00+00:00
1646344800;-3;10.97624;181.88945;Onshore;11.5661;0;2022-03-03 22:00:00+00:00
1646348400;-3;10.97624;181.88945;Onshore;11.5661;0;2022-03-03 23:00:00+00:00
1646352000;-3;8.87205;141.39478;Onshore;11.18795;0;2022-03-04 00:00:00+00:00
1646355600;-3;8.87205;141.39478;Onshore;11.18795;0;2022-03-04 01:00:00+00:00
1646359200;-3;8.87205;141.39478;Onshore;11.18795;0;2022-03-04 02:00:00+00:00
1646362800;-3;13.67808;102.03422;Onshore;15.15933;0;2022-03-04 03:00:00+00:00
1646366400;-3;13.67808;102.03422;Onshore;15.15933;0;2022-03-04 04:00:00+00:00
1646370000;-3;13.67808;102.03422;Onshore;15.15933;0;2022-03-04 05:00:00+00:00
1646373600;-3;6.27542;126.17094;Onshore;6.50338;2;2022-03-04 06:00:00+00:00
1646377200;-3;6.27542;126.17094;Onshore;6.50338;2;2022-03-04 07:00:00+00:00
1646380800;-3;6.27542;126.17094;Onshore;6.50338;2;2022-03-04 08:00:00+00:00
1646384400;-3;4.6679;150.68452;Onshore;4.73629;2;2022-03-04 09:00:00+00:00
1646388000;-3;4.6679;150.68452;Onshore;4.73629;2;2022-03-04 10:00:00+00:00
1646391600;-3;4.6679;150.68452;Onshore;4.73629;2;2022-03-04 11:00:00+00:00
1646395200;-3;11.80474;245.34236;Cross-shore;11.80474;2;2022-03-04 12:00:00+00:00
1646398800;-3;11.80474;245.34236;Cross-shore;11.80474;2;2022-03-04 13:00:00+00:00
1646402400;-3;11.80474;245.34236;Cross-shore;11.80474;2;2022-03-04 14:00:00+00:00
1646406000;-3;3.20971;150.24048;Onshore;4.32073;2;2022-03-04 15:00:00+00:00
1646409600;-3;3.20971;150.24048;Onshore;4.32073;2;2022-03-04 16:00:00+00:00
1646413200;-3;3.20971;150.24048;Onshore;4.32073;2;2022-03-04 17:00:00+00:00
1646416800;-3;8.9979;77.34285;Onshore;9.78991;0;2022-03-04 18:00:00+00:00
1646420400;-3;8.9979;77.34285;Onshore;9.78991;0;2022-03-04 19:00:00+00:00
1646424000;-3;8.9979;77.34285;Onshore;9.78991;0;2022-03-04 20:00:00+00:00
1646427600;-3;12.39962;17.75188;Offshore;12.61022;0;2022-03-04 21:00:00+00:00
1646431200;-3;12.39962;17.75188;Offshore;12.61022;0;2022-03-04 22:00:00+00:00
1646434800;-3;12.39962;17.75188;Offshore;12.61022;0;2022-03-04 23:00:00+00:00
1646438400;-3;17.17041;20.34674;Cross-shore;17.29974;0;2022-03-05 00:00:00+00:00
1646442000;-3;17.17041;20.34674;Cross-shore;17.29974;0;2022-03-05 01:00:00+00:00
1646445600;-3;17.17041;20.34674;Cross-shore;17.29974;0;2022-03-05 02:00:00+00:00
1646449200;-3;21.17453;22.21593;Cross-shore;22.34338;0;2022-03-05 03:00:00+00:00
1646452800;-3;21.17453;22.21593;Cross-shore;22.34338;0;2022-03-05 04:00:00+00:00
1646456400;-3;21.17453;22.21593;Cross-shore;22.34338;0;2022-03-05 05:00:00+00:00
1646460000;-3;24.142;21.44185;Cross-shore;25.56017;0;2022-03-05 06:00:00+00:00
1646463600;-3;24.142;21.44185;Cross-shore;25.56017;0;2022-03-05 07:00:00+00:00
1646467200;-3;24.142;21.44185;Cross-shore;25.56017;0;2022-03-05 08:00:00+00:00
1646470800;-3;25.10088;21.76101;Cross-shore;27.36;0;2022-03-05 09:00:00+00:00
1646474400;-3;25.10088;21.76101;Cross-shore;27.36;0;2022-03-05 10:00:00+00:00
1646478000;-3;25.10088;21.76101;Cross-shore;27.36;0;2022-03-05 11:00:00+00:00
1646481600;-3;25.70627;22.85162;Cross-shore;28.84737;0;2022-03-05 12:00:00+00:00
1646485200;-3;25.70627;22.85162;Cross-shore;28.84737;0;2022-03-05 13:00:00+00:00
1646488800;-3;25.70627;22.85162;Cross-shore;28.84737;0;2022-03-05 14:00:00+00:00
1646492400;-3;27.46328;18.88323;Offshore;30.27657;0;2022-03-05 15:00:00+00:00
1646496000;-3;27.46328;18.88323;Offshore;30.27657;0;2022-03-05 16:00:00+00:00
1646499600;-3;27.46328;18.88323;Offshore;30.27657;0;2022-03-05 17:00:00+00:00
1646503200;-3;33.48094;40.63079;Cross-shore;36.00135;0;2022-03-05 18:00:00+00:00
1646506800;-3;33.48094;40.63079;Cross-shore;36.00135;0;2022-03-05 19:00:00+00:00
1646510400;-3;33.48094;40.63079;Cross-shore;36.00135;0;2022-03-05 20:00:00+00:00
1646514000;-3;30.8705;47.23172;Cross-shore;35.04016;0;2022-03-05 21:00:00+00:00
1646517600;-3;30.8705;47.23172;Cross-shore;35.04016;0;2022-03-05 22:00:00+00:00
1646521200;-3;30.8705;47.23172;Cross-shore;35.04016;0;2022-03-05 23:00:00+00:00
1646524800;-3;28.34931;34.20814;Cross-shore;33.13693;0;2022-03-06 00:00:00+00:00
1646528400;-3;28.34931;34.20814;Cross-shore;33.13693;0;2022-03-06 01:00:00+00:00
1646532000;-3;28.34931;34.20814;Cross-shore;33.13693;0;2022-03-06 02:00:00+00:00
1646535600;-3;24.32871;14.29691;Offshore;30.62461;0;2022-03-06 03:00:00+00:00
1646539200;-3;24.32871;14.29691;Offshore;30.62461;0;2022-03-06 04:00:00+00:00
1646542800;-3;24.32871;14.29691;Offshore;30.62461;0;2022-03-06 05:00:00+00:00
1646546400;-3;28.40259;8.94868;Offshore;35.28;0;2022-03-06 06:00:00+00:00
1646550000;-3;28.40259;8.94868;Offshore;35.28;0;2022-03-06 07:00:00+00:00
1646553600;-3;28.40259;8.94868;Offshore;35.28;0;2022-03-06 08:00:00+00:00
1646557200;-3;33.96193;6.75639;Offshore;39.96062;0;2022-03-06 09:00:00+00:00
1646560800;-3;33.96193;6.75639;Offshore;39.96062;0;2022-03-06 10:00:00+00:00
1646564400;-3;33.96193;6.75639;Offshore;39.96062;0;2022-03-06 11:00:00+00:00
1646568000;-3;31.65407;357.69872;Offshore;39.01189;0;2022-03-06 12:00:00+00:00
1646571600;-3;31.65407;357.69872;Offshore;39.01189;0;2022-03-06 13:00:00+00:00
1646575200;-3;31.65407;357.69872;Offshore;39.01189;0;2022-03-06 14:00:00+00:00
1646578800;-3;35.33701;6.75093;Offshore;43.98592;0;2022-03-06 15:00:00+00:00
1646582400;-3;35.33701;6.75093;Offshore;43.98592;0;2022-03-06 16:00:00+00:00
1646586000;-3;35.33701;6.75093;Offshore;43.98592;0;2022-03-06 17:00:00+00:00
1646589600;-3;37.75763;23.06893;Cross-shore;46.08699;0;2022-03-06 18:00:00+00:00
1646593200;-3;37.75763;23.06893;Cross-shore;46.08699;0;2022-03-06 19:00:00+00:00
1646596800;-3;37.75763;23.06893;Cross-shore;46.08699;0;2022-03-06 20:00:00+00:00
1646600400;-3;20.97892;7.82195;Offshore;30.97434;0;2022-03-06 21:00:00+00:00
1646604000;-3;20.97892;7.82195;Offshore;30.97434;0;2022-03-06 22:00:00+00:00
1646607600;-3;20.97892;7.82195;Offshore;30.97434;0;2022-03-06 23:00:00+00:00
