timestamp;utcOffset;surf.min;surf.max;surf.plus;surf.humanRelation;surf.raw.min;surf.raw.max;datetime_utc
1748746800;-3;0.9;1.4;False;Waist to shoulder;1.18181;1.40908;2025-06-01 03:00:00+00:00
1748750400;-3;0.9;1.4;False;Waist to shoulder;1.15908;1.38635;2025-06-01 04:00:00+00:00
1748754000;-3;0.9;1.4;False;Waist to shoulder;1.12499;1.3409;2025-06-01 05:00:00+00:00
1748757600;-3;0.9;1.4;False;Waist to shoulder;1.11363;1.32953;2025-06-01 06:00:00+00:00
1748761200;-3;0.9;1.4;False;Waist to shoulder;1.13635;1.35226;2025-06-01 07:00:00+00:00
1748764800;-3;0.9;1.4;False;Waist to shoulder;1.07954;1.29544;2025-06-01 08:00:00+00:00
1748768400;-3;0.9;1.4;False;Waist to shoulder;1.07954;1.29544;2025-06-01 09:00:00+00:00
1748772000;-3;0.9;1.4;False;Waist to shoulder;1.12499;1.3409;2025-06-01 10:00:00+00:00
1748775600;-3;0.9;1.2;False;Waist to chest;1.04545;1.24999;2025-06-01 11:00:00+00:00
1748779200;-3;0.9;1.2;False;Waist to chest;1.06817;1.28408;2025-06-01 12:00:00+00:00
1748782800;-3;0.9;1.2;False;Waist to chest;1.05681;1.26135;2025-06-01 13:00:00+00:00
1748786400;-3;0.9;1.2;False;Waist to chest;0.86363;1.20454;2025-06-01 14:00:00+00:00
1748790000;-3;0.9;1.2;False;Waist to chest;1.05681;1.26135;2025-06-01 15:00:00+00:00
1748793600;-3;0.6;1.1;False;Thigh to stomach;0.78408;1.13635;2025-06-01 16:00:00+00:00
1748797200;-3;0.9;1.2;False;Waist to chest;0.80681;1.15908;2025-06-01 17:00:00+00:00
1748800800;-3;0.9;1.2;False;Waist to chest;0.82954;1.17044;2025-06-01 18:00:00+00:00
1748804400;-3;0.6;1.1;False;Thigh to stomach;0.79545;1.13635;2025-06-01 19:00:00+00:00
1748808000;-3;0.9;1.2;False;Waist to chest;0.86363;1.20454;2025-06-01 20:00:00+00:00
1748811600;-3;0.9;1.2;False;Waist to chest;1.04545;1.24999;2025-06-01 21:00:00+00:00
1748815200;-3;0.9;1.2;False;Waist to chest;0.8409;1.19317;2025-06-01 22:00:00+00:00
1748818800;-3;0.9;1.2;False;Waist to chest;0.80681;1.15908;2025-06-01 23:00:00+00:00
1748822400;-3;0.6;1.1;False;Thigh to stomach;0.78408;1.13635;2025-06-02 00:00:00+00:00
1748826000;-3;0.6;1.1;False;Thigh to stomach;0.77272;1.12499;2025-06-02 01:00:00+00:00
1748829600;-3;0.6;1.1;False;Thigh to stomach;0.76136;1.11363;2025-06-02 02:00:00+00:00
1748833200;-3;0.6;1.1;False;Thigh to stomach;0.76136;1.11363;2025-06-02 03:00:00+00:00
1748836800;-3;0.6;1.1;False;Thigh to stomach;0.77272;1.11363;2025-06-02 04:00:00+00:00
1748840400;-3;0.6;1.1;False;Thigh to stomach;0.77272;1.11363;2025-06-02 05:00:00+00:00
1748844000;-3;0.9;1.2;False;Waist to chest;0.79545;1.14772;2025-06-02 06:00:00+00:00
1748847600;-3;0.9;1.2;False;Waist to chest;0.80681;1.15908;2025-06-02 07:00:00+00:00
1748851200;-3;0.9;1.2;False;Waist to chest;0.81817;1.17044;2025-06-02 08:00:00+00:00
1748854800;-3;0.9;1.2;False;Waist to chest;0.81817;1.17044;2025-06-02 09:00:00+00:00
1748858400;-3;0.9;1.2;False;Waist to chest;0.81817;1.17044;2025-06-02 10:00:00+00:00
1748862000;-3;0.9;1.2;False;Waist to chest;0.8409;1.18181;2025-06-02 11:00:00+00:00
1748865600;-3;0.9;1.2;False;Waist to chest;0.80681;1.14772;2025-06-02 12:00:00+00:00
1748869200;-3;0.6;1.1;False;Thigh to stomach;0.78408;1.12499;2025-06-02 13:00:00+00:00
1748872800;-3;0.6;1.1;False;Thigh to stomach;0.76136;1.11363;2025-06-02 14:00:00+00:00
1748876400;-3;0.6;1.1;False;Thigh to stomach;0.73863;1.0909;2025-06-02 15:00:00+00:00
1748880000;-3;0.6;1.1;False;Thigh to stomach;0.72727;1.06817;2025-06-02 16:00:00+00:00
1748883600;-3;0.6;1.1;False;Thigh to stomach;0.7159;1.05681;2025-06-02 17:00:00+00:00
1748887200;-3;0.6;1.1;False;Thigh to stomach;0.73863;1.07954;2025-06-02 18:00:00+00:00
1748890800;-3;0.6;1.1;False;Thigh to stomach;0.7159;1.06817;2025-06-02 19:00:00+00:00
1748894400;-3;0.6;1.1;False;Thigh to stomach;0.73863;1.07954;2025-06-02 20:00:00+00:00
1748898000;-3;0.6;1.1;False;Thigh to stomach;0.72727;1.06817;2025-06-02 21:00:00+00:00
1748901600;-3;0.6;1.1;False;Thigh to stomach;0.7159;1.05681;2025-06-02 22:00:00+00:00
1748905200;-3;0.6;1.1;False;Thigh to stomach;0.70454;1.05681;2025-06-02 23:00:00+00:00
1748908800;-3;0.6;1.1;False;Thigh to stomach;0.7159;1.05681;2025-06-03 00:00:00+00:00
1748912400;-3;0.6;1.1;False;Thigh to stomach;0.70454;1.04545;2025-06-03 01:00:00+00:00
1748916000;-3;0.6;1.1;False;Thigh to stomach;0.69318;1.04545;2025-06-03 02:00:00+00:00
1748919600;-3;0.6;1.1;False;Thigh to stomach;0.68181;1.03408;2025-06-03 03:00:00+00:00
1748923200;-3;0.6;1.1;False;Thigh to stomach;0.68181;1.02272;2025-06-03 04:00:00+00:00
1748926800;-3;0.6;1.1;False;Thigh to stomach;0.68181;1.02272;2025-06-03 05:00:00+00:00
1748930400;-3;0.6;1.1;False;Thigh to stomach;0.7159;1.05681;2025-06-03 06:00:00+00:00
1748934000;-3;0.6;1.1;False;Thigh to stomach;0.70454;1.05681;2025-06-03 07:00:00+00:00
1748937600;-3;0.6;1.1;False;Thigh to stomach;0.67045;1.01135;2025-06-03 08:00:00+00:00
1748941200;-3;0.6;1.1;False;Thigh to stomach;0.65909;0.99999;2025-06-03 09:00:00+00:00
1748944800;-3;0.6;0.9;False;Thigh to waist;0.64772;0.98863;2025-06-03 10:00:00+00:00
1748948400;-3;0.6;0.9;False;Thigh to waist;0.63636;0.97726;2025-06-03 11:00:00+00:00
1748952000;-3;0.6;0.9;False;Thigh to waist;0.61363;0.95454;2025-06-03 12:00:00+00:00
1748955600;-3;0.6;0.9;False;Thigh to waist;0.5909;0.94317;2025-06-03 13:00:00+00:00
1748959200;-3;0.6;0.9;False;Thigh to waist;0.57954;0.92045;2025-06-03 14:00:00+00:00
1748962800;-3;0.6;0.9;False;Thigh to waist;0.55681;0.89772;2025-06-03 15:00:00+00:00
