height;period;impact;power;direction;directionMin;total_timestamp;datetime_utc
0.0;0;0.0;0.0;0.0;0.0;1633057200;2021-10-01 03:00:00+00:00
1.33608;9;0.4382;119.72238;142.74478;133.17883;1633057200;2021-10-01 03:00:00+00:00
1.28926;8;0.2888;63.49188;73.34875;60.449284999999996;1633057200;2021-10-01 03:00:00+00:00
0.62688;11;0.2385;22.10672;174.16949;168.001665;1633057200;2021-10-01 03:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633057200;2021-10-01 03:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633057200;2021-10-01 03:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633060800;2021-10-01 04:00:00+00:00
1.33608;9;0.4382;119.72238;142.74478;133.17883;1633060800;2021-10-01 04:00:00+00:00
1.28926;8;0.2888;63.49188;73.34875;60.449284999999996;1633060800;2021-10-01 04:00:00+00:00
0.62688;11;0.2385;22.10672;174.16949;168.001665;1633060800;2021-10-01 04:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633060800;2021-10-01 04:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633060800;2021-10-01 04:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633064400;2021-10-01 05:00:00+00:00
1.33608;9;0.4382;119.72238;142.74478;133.17883;1633064400;2021-10-01 05:00:00+00:00
1.28926;8;0.2888;63.49188;73.34875;60.449284999999996;1633064400;2021-10-01 05:00:00+00:00
0.62688;11;0.2385;22.10672;174.16949;168.001665;1633064400;2021-10-01 05:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633064400;2021-10-01 05:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633064400;2021-10-01 05:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633068000;2021-10-01 06:00:00+00:00
1.26732;9;0.386;93.69792;139.31549;130.41882;1633068000;2021-10-01 06:00:00+00:00
1.3248;8;0.27;63.07859;72.5976;59.083115;1633068000;2021-10-01 06:00:00+00:00
0.60665;11;0.2083;16.7079;174.71442;168.838955;1633068000;2021-10-01 06:00:00+00:00
0.34386;11;0.1147;3.15575;79.39154;75.18560500000001;1633068000;2021-10-01 06:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633068000;2021-10-01 06:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633071600;2021-10-01 07:00:00+00:00
1.26732;9;0.386;93.69792;139.31549;130.41882;1633071600;2021-10-01 07:00:00+00:00
1.3248;8;0.27;63.07859;72.5976;59.083115;1633071600;2021-10-01 07:00:00+00:00
0.60665;11;0.2083;16.7079;174.71442;168.838955;1633071600;2021-10-01 07:00:00+00:00
0.34386;11;0.1147;3.15575;79.39154;75.18560500000001;1633071600;2021-10-01 07:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633071600;2021-10-01 07:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633075200;2021-10-01 08:00:00+00:00
1.26732;9;0.386;93.69792;139.31549;130.41882;1633075200;2021-10-01 08:00:00+00:00
1.3248;8;0.27;63.07859;72.5976;59.083115;1633075200;2021-10-01 08:00:00+00:00
0.60665;11;0.2083;16.7079;174.71442;168.838955;1633075200;2021-10-01 08:00:00+00:00
0.34386;11;0.1147;3.15575;79.39154;75.18560500000001;1633075200;2021-10-01 08:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633075200;2021-10-01 08:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633078800;2021-10-01 09:00:00+00:00
1.28789;9;0.456;113.8936;133.66531;124.32336000000001;1633078800;2021-10-01 09:00:00+00:00
1.47202;8;0.2838;80.16059;64.04492;50.20449000000001;1633078800;2021-10-01 09:00:00+00:00
0.55295;10;0.2234;14.27131;174.06378;168.178765;1633078800;2021-10-01 09:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633078800;2021-10-01 09:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633078800;2021-10-01 09:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633082400;2021-10-01 10:00:00+00:00
1.28789;9;0.456;113.8936;133.66531;124.32336000000001;1633082400;2021-10-01 10:00:00+00:00
1.47202;8;0.2838;80.16059;64.04492;50.20449000000001;1633082400;2021-10-01 10:00:00+00:00
0.55295;10;0.2234;14.27131;174.06378;168.178765;1633082400;2021-10-01 10:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633082400;2021-10-01 10:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633082400;2021-10-01 10:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633086000;2021-10-01 11:00:00+00:00
1.28789;9;0.456;113.8936;133.66531;124.32336000000001;1633086000;2021-10-01 11:00:00+00:00
1.47202;8;0.2838;80.16059;64.04492;50.20449000000001;1633086000;2021-10-01 11:00:00+00:00
0.55295;10;0.2234;14.27131;174.06378;168.178765;1633086000;2021-10-01 11:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633086000;2021-10-01 11:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633086000;2021-10-01 11:00:00+00:00
0.70053;9;0.2087;17.7342;80.46014;75.33799499999999;1633089600;2021-10-01 12:00:00+00:00
1.20013;9;0.4057;86.46342;130.33246;122.134895;1633089600;2021-10-01 12:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633089600;2021-10-01 12:00:00+00:00
0.52976;11;0.2051;12.47998;173.03284;166.707415;1633089600;2021-10-01 12:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1633089600;2021-10-01 12:00:00+00:00
1.61301;6;0.1573;28.54217;48.07831;30.712245000000003;1633089600;2021-10-01 12:00:00+00:00
0.70053;9;0.2087;17.7342;80.46014;75.33799499999999;1633093200;2021-10-01 13:00:00+00:00
