timestamp;utcOffset;type;height;datetime_utc
1665975600;-3;NORMAL;0.31;2022-10-17 03:00:00+00:00
1665975701;-3;HIGH;0.31;2022-10-17 03:01:41+00:00
1665979200;-3;NORMAL;0.31;2022-10-17 04:00:00+00:00
1665982800;-3;NORMAL;0.3;2022-10-17 05:00:00+00:00
1665984720;-3;LOW;0.3;2022-10-17 05:32:00+00:00
1665986400;-3;NORMAL;0.3;2022-10-17 06:00:00+00:00
1665990000;-3;NORMAL;0.33;2022-10-17 07:00:00+00:00
1665993600;-3;NORMAL;0.39;2022-10-17 08:00:00+00:00
1665997200;-3;NORMAL;0.47;2022-10-17 09:00:00+00:00
1666000800;-3;NORMAL;0.54;2022-10-17 10:00:00+00:00
1666002851;-3;HIGH;0.55;2022-10-17 10:34:11+00:00
1666004400;-3;NORMAL;0.55;2022-10-17 11:00:00+00:00
1666008000;-3;NORMAL;0.52;2022-10-17 12:00:00+00:00
1666011600;-3;NORMAL;0.5;2022-10-17 13:00:00+00:00
1666013411;-3;LOW;0.49;2022-10-17 13:30:11+00:00
1666015200;-3;NORMAL;0.5;2022-10-17 14:00:00+00:00
1666018800;-3;NORMAL;0.52;2022-10-17 15:00:00+00:00
1666019647;-3;HIGH;0.53;2022-10-17 15:14:07+00:00
1666022400;-3;NORMAL;0.52;2022-10-17 16:00:00+00:00
1666026000;-3;NORMAL;0.5;2022-10-17 17:00:00+00:00
1666029600;-3;NORMAL;0.47;2022-10-17 18:00:00+00:00
1666033200;-3;NORMAL;0.45;2022-10-17 19:00:00+00:00
1666036523;-3;LOW;0.44;2022-10-17 19:55:23+00:00
1666036800;-3;NORMAL;0.44;2022-10-17 20:00:00+00:00
1666040400;-3;NORMAL;0.47;2022-10-17 21:00:00+00:00
1666044000;-3;NORMAL;0.52;2022-10-17 22:00:00+00:00
1666045344;-3;HIGH;0.52;2022-10-17 22:22:24+00:00
1666047600;-3;NORMAL;0.51;2022-10-17 23:00:00+00:00
1666051200;-3;NORMAL;0.46;2022-10-18 00:00:00+00:00
1666054800;-3;NORMAL;0.4;2022-10-18 01:00:00+00:00
1666058400;-3;NORMAL;0.38;2022-10-18 02:00:00+00:00
1666062000;-3;NORMAL;0.38;2022-10-18 03:00:00+00:00
1666065600;-3;NORMAL;0.36;2022-10-18 04:00:00+00:00
1666069200;-3;NORMAL;0.34;2022-10-18 05:00:00+00:00
1666072800;-3;NORMAL;0.31;2022-10-18 06:00:00+00:00
1666076400;-3;NORMAL;0.28;2022-10-18 07:00:00+00:00
1666079211;-3;LOW;0.28;2022-10-18 07:46:51+00:00
1666080000;-3;NORMAL;0.28;2022-10-18 08:00:00+00:00
1666083600;-3;NORMAL;0.33;2022-10-18 09:00:00+00:00
1666087200;-3;NORMAL;0.44;2022-10-18 10:00:00+00:00
1666090800;-3;NORMAL;0.52;2022-10-18 11:00:00+00:00
1666093767;-3;HIGH;0.54;2022-10-18 11:49:27+00:00
1666094400;-3;NORMAL;0.54;2022-10-18 12:00:00+00:00
1666098000;-3;NORMAL;0.54;2022-10-18 13:00:00+00:00
1666099135;-3;LOW;0.54;2022-10-18 13:18:55+00:00
1666101600;-3;NORMAL;0.55;2022-10-18 14:00:00+00:00
1666105200;-3;NORMAL;0.56;2022-10-18 15:00:00+00:00
1666105786;-3;HIGH;0.56;2022-10-18 15:09:46+00:00
1666108800;-3;NORMAL;0.56;2022-10-18 16:00:00+00:00
1666112400;-3;NORMAL;0.53;2022-10-18 17:00:00+00:00
1666116000;-3;NORMAL;0.49;2022-10-18 18:00:00+00:00
1666119600;-3;NORMAL;0.44;2022-10-18 19:00:00+00:00
1666123200;-3;NORMAL;0.39;2022-10-18 20:00:00+00:00
1666125756;-3;LOW;0.38;2022-10-18 20:42:36+00:00
1666126800;-3;NORMAL;0.38;2022-10-18 21:00:00+00:00
1666130400;-3;NORMAL;0.45;2022-10-18 22:00:00+00:00
1666134000;-3;NORMAL;0.51;2022-10-18 23:00:00+00:00
1666135889;-3;HIGH;0.52;2022-10-18 23:31:29+00:00
1666137600;-3;NORMAL;0.52;2022-10-19 00:00:00+00:00
1666141200;-3;NORMAL;0.5;2022-10-19 01:00:00+00:00
1666144800;-3;NORMAL;0.48;2022-10-19 02:00:00+00:00
1666148400;-3;NORMAL;0.45;2022-10-19 03:00:00+00:00
1666152000;-3;NORMAL;0.42;2022-10-19 04:00:00+00:00
1666155600;-3;NORMAL;0.38;2022-10-19 05:00:00+00:00
1666159200;-3;NORMAL;0.34;2022-10-19 06:00:00+00:00
1666162800;-3;NORMAL;0.28;2022-10-19 07:00:00+00:00
1666166400;-3;NORMAL;0.22;2022-10-19 08:00:00+00:00
1666168884;-3;LOW;0.2;2022-10-19 08:41:24+00:00
1666170000;-3;NORMAL;0.2;2022-10-19 09:00:00+00:00
1666173600;-3;NORMAL;0.29;2022-10-19 10:00:00+00:00
1666177200;-3;NORMAL;0.42;2022-10-19 11:00:00+00:00
1666180800;-3;NORMAL;0.52;2022-10-19 12:00:00+00:00
1666184400;-3;NORMAL;0.57;2022-10-19 13:00:00+00:00
1666188000;-3;NORMAL;0.61;2022-10-19 14:00:00+00:00
1666190382;-3;HIGH;0.61;2022-10-19 14:39:42+00:00
1666191600;-3;NORMAL;0.61;2022-10-19 15:00:00+00:00
1666195200;-3;NORMAL;0.59;2022-10-19 16:00:00+00:00
1666198800;-3;NORMAL;0.57;2022-10-19 17:00:00+00:00
1666202400;-3;NORMAL;0.53;2022-10-19 18:00:00+00:00
1666206000;-3;NORMAL;0.45;2022-10-19 19:00:00+00:00
1666209600;-3;NORMAL;0.37;2022-10-19 20:00:00+00:00
1666213200;-3;NORMAL;0.31;2022-10-19 21:00:00+00:00
1666214051;-3;LOW;0.31;2022-10-19 21:14:11+00:00
1666216800;-3;NORMAL;0.34;2022-10-19 22:00:00+00:00
1666220400;-3;NORMAL;0.44;2022-10-19 23:00:00+00:00
1666224000;-3;NORMAL;0.53;2022-10-20 00:00:00+00:00
1666227600;-3;NORMAL;0.57;2022-10-20 01:00:00+00:00
1666229824;-3;HIGH;0.58;2022-10-20 01:37:04+00:00
1666231200;-3;NORMAL;0.58;2022-10-20 02:00:00+00:00
1666234800;-3;NORMAL;0.55;2022-10-20 03:00:00+00:00
1666238400;-3;NORMAL;0.5;2022-10-20 04:00:00+00:00
1666242000;-3;NORMAL;0.44;2022-10-20 05:00:00+00:00
1666245600;-3;NORMAL;0.38;2022-10-20 06:00:00+00:00
1666249200;-3;NORMAL;0.29;2022-10-20 07:00:00+00:00
