timestamp;utcOffset;type;height;datetime_utc
1660705200;-3;NORMAL;0.33;2022-08-17 03:00:00+00:00
1660707533;-3;LOW;0.33;2022-08-17 03:38:53+00:00
1660708800;-3;NORMAL;0.33;2022-08-17 04:00:00+00:00
1660712400;-3;NORMAL;0.38;2022-08-17 05:00:00+00:00
1660716000;-3;NORMAL;0.51;2022-08-17 06:00:00+00:00
1660719600;-3;NORMAL;0.66;2022-08-17 07:00:00+00:00
1660723200;-3;NORMAL;0.75;2022-08-17 08:00:00+00:00
1660724485;-3;HIGH;0.75;2022-08-17 08:21:25+00:00
1660726800;-3;NORMAL;0.74;2022-08-17 09:00:00+00:00
1660730400;-3;NORMAL;0.67;2022-08-17 10:00:00+00:00
1660734000;-3;NORMAL;0.57;2022-08-17 11:00:00+00:00
1660737600;-3;NORMAL;0.45;2022-08-17 12:00:00+00:00
1660741200;-3;NORMAL;0.37;2022-08-17 13:00:00+00:00
1660744800;-3;NORMAL;0.33;2022-08-17 14:00:00+00:00
1660748400;-3;NORMAL;0.31;2022-08-17 15:00:00+00:00
1660752000;-3;NORMAL;0.29;2022-08-17 16:00:00+00:00
1660753584;-3;LOW;0.29;2022-08-17 16:26:24+00:00
1660755600;-3;NORMAL;0.3;2022-08-17 17:00:00+00:00
1660759200;-3;NORMAL;0.39;2022-08-17 18:00:00+00:00
1660762800;-3;NORMAL;0.52;2022-08-17 19:00:00+00:00
1660766400;-3;NORMAL;0.61;2022-08-17 20:00:00+00:00
1660769560;-3;HIGH;0.64;2022-08-17 20:52:40+00:00
1660770000;-3;NORMAL;0.64;2022-08-17 21:00:00+00:00
1660773600;-3;NORMAL;0.6;2022-08-17 22:00:00+00:00
1660777200;-3;NORMAL;0.51;2022-08-17 23:00:00+00:00
1660780800;-3;NORMAL;0.4;2022-08-18 00:00:00+00:00
1660784400;-3;NORMAL;0.34;2022-08-18 01:00:00+00:00
1660788000;-3;NORMAL;0.33;2022-08-18 02:00:00+00:00
1660789059;-3;HIGH;0.33;2022-08-18 02:17:39+00:00
1660789480;-3;LOW;0.34;2022-08-18 02:24:40+00:00
1660791600;-3;NORMAL;0.34;2022-08-18 03:00:00+00:00
1660795200;-3;NORMAL;0.33;2022-08-18 04:00:00+00:00
1660796862;-3;LOW;0.32;2022-08-18 04:27:42+00:00
1660798800;-3;NORMAL;0.33;2022-08-18 05:00:00+00:00
1660802400;-3;NORMAL;0.4;2022-08-18 06:00:00+00:00
1660806000;-3;NORMAL;0.51;2022-08-18 07:00:00+00:00
1660809600;-3;NORMAL;0.61;2022-08-18 08:00:00+00:00
1660813200;-3;NORMAL;0.67;2022-08-18 09:00:00+00:00
1660814550;-3;HIGH;0.68;2022-08-18 09:22:30+00:00
1660816800;-3;NORMAL;0.67;2022-08-18 10:00:00+00:00
1660820400;-3;NORMAL;0.6;2022-08-18 11:00:00+00:00
1660824000;-3;NORMAL;0.5;2022-08-18 12:00:00+00:00
1660827600;-3;NORMAL;0.43;2022-08-18 13:00:00+00:00
1660831200;-3;NORMAL;0.4;2022-08-18 14:00:00+00:00
1660834800;-3;NORMAL;0.4;2022-08-18 15:00:00+00:00
1660838400;-3;NORMAL;0.38;2022-08-18 16:00:00+00:00
1660842000;-3;NORMAL;0.37;2022-08-18 17:00:00+00:00
1660842527;-3;LOW;0.37;2022-08-18 17:08:47+00:00
1660845600;-3;NORMAL;0.39;2022-08-18 18:00:00+00:00
1660849200;-3;NORMAL;0.45;2022-08-18 19:00:00+00:00
1660852800;-3;NORMAL;0.52;2022-08-18 20:00:00+00:00
1660856400;-3;NORMAL;0.58;2022-08-18 21:00:00+00:00
1660858583;-3;HIGH;0.59;2022-08-18 21:36:23+00:00
1660860000;-3;NORMAL;0.59;2022-08-18 22:00:00+00:00
1660863600;-3;NORMAL;0.54;2022-08-18 23:00:00+00:00
1660867200;-3;NORMAL;0.45;2022-08-19 00:00:00+00:00
1660870800;-3;NORMAL;0.37;2022-08-19 01:00:00+00:00
1660874400;-3;NORMAL;0.34;2022-08-19 02:00:00+00:00
1660876460;-3;LOW;0.33;2022-08-19 02:34:20+00:00
1660876647;-3;HIGH;0.33;2022-08-19 02:37:27+00:00
1660878000;-3;NORMAL;0.33;2022-08-19 03:00:00+00:00
1660881600;-3;NORMAL;0.32;2022-08-19 04:00:00+00:00
1660885200;-3;NORMAL;0.32;2022-08-19 05:00:00+00:00
1660885615;-3;LOW;0.32;2022-08-19 05:06:55+00:00
1660888800;-3;NORMAL;0.33;2022-08-19 06:00:00+00:00
