timestamp;utcOffset;type;height;datetime_utc
1694919600;-3;NORMAL;0.32;2023-09-17 03:00:00+00:00
1694923200;-3;NORMAL;0.52;2023-09-17 04:00:00+00:00
1694926800;-3;NORMAL;0.73;2023-09-17 05:00:00+00:00
1694930400;-3;NORMAL;0.87;2023-09-17 06:00:00+00:00
1694931769;-3;HIGH;0.88;2023-09-17 06:22:49+00:00
1694934000;-3;NORMAL;0.86;2023-09-17 07:00:00+00:00
1694937600;-3;NORMAL;0.73;2023-09-17 08:00:00+00:00
1694941200;-3;NORMAL;0.55;2023-09-17 09:00:00+00:00
1694944800;-3;NORMAL;0.39;2023-09-17 10:00:00+00:00
1694948400;-3;NORMAL;0.25;2023-09-17 11:00:00+00:00
1694952000;-3;NORMAL;0.14;2023-09-17 12:00:00+00:00
1694955600;-3;NORMAL;0.07;2023-09-17 13:00:00+00:00
1694957209;-3;LOW;0.06;2023-09-17 13:26:49+00:00
1694959200;-3;NORMAL;0.08;2023-09-17 14:00:00+00:00
1694962800;-3;NORMAL;0.18;2023-09-17 15:00:00+00:00
1694966400;-3;NORMAL;0.36;2023-09-17 16:00:00+00:00
1694970000;-3;NORMAL;0.57;2023-09-17 17:00:00+00:00
1694973600;-3;NORMAL;0.75;2023-09-17 18:00:00+00:00
1694976323;-3;HIGH;0.8;2023-09-17 18:45:23+00:00
1694977200;-3;NORMAL;0.8;2023-09-17 19:00:00+00:00
1694980800;-3;NORMAL;0.71;2023-09-17 20:00:00+00:00
1694984400;-3;NORMAL;0.57;2023-09-17 21:00:00+00:00
1694988000;-3;NORMAL;0.43;2023-09-17 22:00:00+00:00
1694991600;-3;NORMAL;0.31;2023-09-17 23:00:00+00:00
1694995200;-3;NORMAL;0.22;2023-09-18 00:00:00+00:00
1694998800;-3;NORMAL;0.17;2023-09-18 01:00:00+00:00
1695000139;-3;LOW;0.16;2023-09-18 01:22:19+00:00
1695002400;-3;NORMAL;0.18;2023-09-18 02:00:00+00:00
1695006000;-3;NORMAL;0.26;2023-09-18 03:00:00+00:00
1695009600;-3;NORMAL;0.41;2023-09-18 04:00:00+00:00
1695013200;-3;NORMAL;0.6;2023-09-18 05:00:00+00:00
1695016800;-3;NORMAL;0.79;2023-09-18 06:00:00+00:00
1695020039;-3;HIGH;0.85;2023-09-18 06:53:59+00:00
1695020400;-3;NORMAL;0.85;2023-09-18 07:00:00+00:00
1695024000;-3;NORMAL;0.78;2023-09-18 08:00:00+00:00
1695027600;-3;NORMAL;0.64;2023-09-18 09:00:00+00:00
1695031200;-3;NORMAL;0.48;2023-09-18 10:00:00+00:00
1695034800;-3;NORMAL;0.34;2023-09-18 11:00:00+00:00
1695038400;-3;NORMAL;0.22;2023-09-18 12:00:00+00:00
1695042000;-3;NORMAL;0.15;2023-09-18 13:00:00+00:00
1695044526;-3;LOW;0.14;2023-09-18 13:42:06+00:00
1695045600;-3;NORMAL;0.14;2023-09-18 14:00:00+00:00
1695049200;-3;NORMAL;0.19;2023-09-18 15:00:00+00:00
1695052800;-3;NORMAL;0.29;2023-09-18 16:00:00+00:00
1695056400;-3;NORMAL;0.45;2023-09-18 17:00:00+00:00
1695060000;-3;NORMAL;0.64;2023-09-18 18:00:00+00:00
1695063600;-3;NORMAL;0.74;2023-09-18 19:00:00+00:00
1695064346;-3;HIGH;0.75;2023-09-18 19:12:26+00:00
1695067200;-3;NORMAL;0.71;2023-09-18 20:00:00+00:00
1695070800;-3;NORMAL;0.61;2023-09-18 21:00:00+00:00
1695074400;-3;NORMAL;0.48;2023-09-18 22:00:00+00:00
1695078000;-3;NORMAL;0.35;2023-09-18 23:00:00+00:00
1695081600;-3;NORMAL;0.24;2023-09-19 00:00:00+00:00
1695085200;-3;NORMAL;0.19;2023-09-19 01:00:00+00:00
1695086854;-3;LOW;0.18;2023-09-19 01:27:34+00:00
1695088800;-3;NORMAL;0.19;2023-09-19 02:00:00+00:00
1695092400;-3;NORMAL;0.24;2023-09-19 03:00:00+00:00
1695096000;-3;NORMAL;0.33;2023-09-19 04:00:00+00:00
1695099600;-3;NORMAL;0.47;2023-09-19 05:00:00+00:00
1695103200;-3;NORMAL;0.66;2023-09-19 06:00:00+00:00
1695106800;-3;NORMAL;0.78;2023-09-19 07:00:00+00:00
1695108512;-3;HIGH;0.8;2023-09-19 07:28:32+00:00
1695110400;-3;NORMAL;0.78;2023-09-19 08:00:00+00:00
1695114000;-3;NORMAL;0.7;2023-09-19 09:00:00+00:00
1695117600;-3;NORMAL;0.58;2023-09-19 10:00:00+00:00
1695121200;-3;NORMAL;0.44;2023-09-19 11:00:00+00:00
1695124800;-3;NORMAL;0.32;2023-09-19 12:00:00+00:00
1695128400;-3;NORMAL;0.24;2023-09-19 13:00:00+00:00
1695131461;-3;LOW;0.23;2023-09-19 13:51:01+00:00
1695132000;-3;NORMAL;0.23;2023-09-19 14:00:00+00:00
1695135600;-3;NORMAL;0.25;2023-09-19 15:00:00+00:00
1695139200;-3;NORMAL;0.29;2023-09-19 16:00:00+00:00
1695142800;-3;NORMAL;0.38;2023-09-19 17:00:00+00:00
1695146400;-3;NORMAL;0.52;2023-09-19 18:00:00+00:00
1695150000;-3;NORMAL;0.64;2023-09-19 19:00:00+00:00
1695152586;-3;HIGH;0.67;2023-09-19 19:43:06+00:00
1695153600;-3;NORMAL;0.67;2023-09-19 20:00:00+00:00
1695157200;-3;NORMAL;0.62;2023-09-19 21:00:00+00:00
1695160800;-3;NORMAL;0.52;2023-09-19 22:00:00+00:00
1695164400;-3;NORMAL;0.39;2023-09-19 23:00:00+00:00
1695168000;-3;NORMAL;0.28;2023-09-20 00:00:00+00:00
1695171600;-3;NORMAL;0.21;2023-09-20 01:00:00+00:00
1695173629;-3;LOW;0.2;2023-09-20 01:33:49+00:00
1695175200;-3;NORMAL;0.21;2023-09-20 02:00:00+00:00
1695178800;-3;NORMAL;0.25;2023-09-20 03:00:00+00:00
1695182400;-3;NORMAL;0.29;2023-09-20 04:00:00+00:00
1695186000;-3;NORMAL;0.37;2023-09-20 05:00:00+00:00
1695189600;-3;NORMAL;0.51;2023-09-20 06:00:00+00:00
1695193200;-3;NORMAL;0.65;2023-09-20 07:00:00+00:00
1695196800;-3;NORMAL;0.72;2023-09-20 08:00:00+00:00
1695197771;-3;HIGH;0.72;2023-09-20 08:16:11+00:00
1695200400;-3;NORMAL;0.71;2023-09-20 09:00:00+00:00
1695204000;-3;NORMAL;0.64;2023-09-20 10:00:00+00:00
1695207600;-3;NORMAL;0.53;2023-09-20 11:00:00+00:00
1695211200;-3;NORMAL;0.42;2023-09-20 12:00:00+00:00
1695214800;-3;NORMAL;0.34;2023-09-20 13:00:00+00:00
1695218130;-3;LOW;0.32;2023-09-20 13:55:30+00:00
1695218400;-3;NORMAL;0.32;2023-09-20 14:00:00+00:00
1695222000;-3;NORMAL;0.33;2023-09-20 15:00:00+00:00
1695225600;-3;NORMAL;0.34;2023-09-20 16:00:00+00:00
1695229200;-3;NORMAL;0.37;2023-09-20 17:00:00+00:00
1695232800;-3;NORMAL;0.44;2023-09-20 18:00:00+00:00
1695236400;-3;NORMAL;0.53;2023-09-20 19:00:00+00:00
1695240000;-3;NORMAL;0.58;2023-09-20 20:00:00+00:00
1695241526;-3;HIGH;0.59;2023-09-20 20:25:26+00:00
1695243600;-3;NORMAL;0.58;2023-09-20 21:00:00+00:00
1695247200;-3;NORMAL;0.53;2023-09-20 22:00:00+00:00
1695250800;-3;NORMAL;0.44;2023-09-20 23:00:00+00:00
1695254400;-3;NORMAL;0.33;2023-09-21 00:00:00+00:00
1695258000;-3;NORMAL;0.25;2023-09-21 01:00:00+00:00
1695260790;-3;LOW;0.23;2023-09-21 01:46:30+00:00
1695261600;-3;NORMAL;0.23;2023-09-21 02:00:00+00:00
1695265200;-3;NORMAL;0.26;2023-09-21 03:00:00+00:00
1695268800;-3;NORMAL;0.29;2023-09-21 04:00:00+00:00
1695272400;-3;NORMAL;0.32;2023-09-21 05:00:00+00:00
1695276000;-3;NORMAL;0.39;2023-09-21 06:00:00+00:00
1695279600;-3;NORMAL;0.49;2023-09-21 07:00:00+00:00
1695283200;-3;NORMAL;0.58;2023-09-21 08:00:00+00:00
1695286800;-3;NORMAL;0.64;2023-09-21 09:00:00+00:00
