timestamp;utcOffset;type;height;datetime_utc
1654052400;-3;NORMAL;0.4;2022-06-01 03:00:00+00:00
1654056000;-3;NORMAL;0.55;2022-06-01 04:00:00+00:00
1654059600;-3;NORMAL;0.68;2022-06-01 05:00:00+00:00
1654063200;-3;NORMAL;0.75;2022-06-01 06:00:00+00:00
1654063306;-3;HIGH;0.75;2022-06-01 06:01:46+00:00
1654066800;-3;NORMAL;0.7;2022-06-01 07:00:00+00:00
1654070400;-3;NORMAL;0.58;2022-06-01 08:00:00+00:00
1654074000;-3;NORMAL;0.43;2022-06-01 09:00:00+00:00
1654077600;-3;NORMAL;0.32;2022-06-01 10:00:00+00:00
1654081200;-3;NORMAL;0.23;2022-06-01 11:00:00+00:00
1654084800;-3;NORMAL;0.15;2022-06-01 12:00:00+00:00
1654088400;-3;NORMAL;0.1;2022-06-01 13:00:00+00:00
1654089598;-3;LOW;0.1;2022-06-01 13:19:58+00:00
1654092000;-3;NORMAL;0.12;2022-06-01 14:00:00+00:00
1654095600;-3;NORMAL;0.23;2022-06-01 15:00:00+00:00
1654099200;-3;NORMAL;0.4;2022-06-01 16:00:00+00:00
1654102800;-3;NORMAL;0.6;2022-06-01 17:00:00+00:00
1654106400;-3;NORMAL;0.76;2022-06-01 18:00:00+00:00
1654109158;-3;HIGH;0.8;2022-06-01 18:45:58+00:00
1654110000;-3;NORMAL;0.8;2022-06-01 19:00:00+00:00
1654113600;-3;NORMAL;0.74;2022-06-01 20:00:00+00:00
1654117200;-3;NORMAL;0.64;2022-06-01 21:00:00+00:00
1654120800;-3;NORMAL;0.55;2022-06-01 22:00:00+00:00
1654124400;-3;NORMAL;0.48;2022-06-01 23:00:00+00:00
1654128000;-3;NORMAL;0.41;2022-06-02 00:00:00+00:00
1654131600;-3;NORMAL;0.35;2022-06-02 01:00:00+00:00
1654134729;-3;LOW;0.33;2022-06-02 01:52:09+00:00
1654135200;-3;NORMAL;0.33;2022-06-02 02:00:00+00:00
1654138800;-3;NORMAL;0.37;2022-06-02 03:00:00+00:00
1654142400;-3;NORMAL;0.46;2022-06-02 04:00:00+00:00
1654146000;-3;NORMAL;0.6;2022-06-02 05:00:00+00:00
1654149600;-3;NORMAL;0.72;2022-06-02 06:00:00+00:00
1654151736;-3;HIGH;0.75;2022-06-02 06:35:36+00:00
1654153200;-3;NORMAL;0.74;2022-06-02 07:00:00+00:00
1654156800;-3;NORMAL;0.66;2022-06-02 08:00:00+00:00
1654160400;-3;NORMAL;0.53;2022-06-02 09:00:00+00:00
1654164000;-3;NORMAL;0.41;2022-06-02 10:00:00+00:00
1654167600;-3;NORMAL;0.31;2022-06-02 11:00:00+00:00
1654171200;-3;NORMAL;0.22;2022-06-02 12:00:00+00:00
1654174800;-3;NORMAL;0.17;2022-06-02 13:00:00+00:00
1654177484;-3;LOW;0.15;2022-06-02 13:44:44+00:00
1654178400;-3;NORMAL;0.15;2022-06-02 14:00:00+00:00
1654182000;-3;NORMAL;0.2;2022-06-02 15:00:00+00:00
1654185600;-3;NORMAL;0.3;2022-06-02 16:00:00+00:00
1654189200;-3;NORMAL;0.47;2022-06-02 17:00:00+00:00
1654192800;-3;NORMAL;0.67;2022-06-02 18:00:00+00:00
1654196400;-3;NORMAL;0.78;2022-06-02 19:00:00+00:00
1654197667;-3;HIGH;0.79;2022-06-02 19:21:07+00:00
1654200000;-3;NORMAL;0.77;2022-06-02 20:00:00+00:00
1654203600;-3;NORMAL;0.7;2022-06-02 21:00:00+00:00
1654207200;-3;NORMAL;0.62;2022-06-02 22:00:00+00:00
1654210800;-3;NORMAL;0.54;2022-06-02 23:00:00+00:00
1654214400;-3;NORMAL;0.47;2022-06-03 00:00:00+00:00
1654218000;-3;NORMAL;0.42;2022-06-03 01:00:00+00:00
1654221600;-3;NORMAL;0.4;2022-06-03 02:00:00+00:00
1654223618;-3;LOW;0.39;2022-06-03 02:33:38+00:00
1654225200;-3;NORMAL;0.4;2022-06-03 03:00:00+00:00
1654228800;-3;NORMAL;0.43;2022-06-03 04:00:00+00:00
1654232400;-3;NORMAL;0.52;2022-06-03 05:00:00+00:00
1654236000;-3;NORMAL;0.66;2022-06-03 06:00:00+00:00
1654239600;-3;NORMAL;0.74;2022-06-03 07:00:00+00:00
1654240204;-3;HIGH;0.74;2022-06-03 07:10:04+00:00
1654243200;-3;NORMAL;0.71;2022-06-03 08:00:00+00:00
1654246800;-3;NORMAL;0.62;2022-06-03 09:00:00+00:00
1654250400;-3;NORMAL;0.51;2022-06-03 10:00:00+00:00
1654254000;-3;NORMAL;0.39;2022-06-03 11:00:00+00:00
1654257600;-3;NORMAL;0.3;2022-06-03 12:00:00+00:00
1654261200;-3;NORMAL;0.24;2022-06-03 13:00:00+00:00
1654264800;-3;NORMAL;0.21;2022-06-03 14:00:00+00:00
1654265593;-3;LOW;0.21;2022-06-03 14:13:13+00:00
1654268400;-3;NORMAL;0.22;2022-06-03 15:00:00+00:00
1654272000;-3;NORMAL;0.26;2022-06-03 16:00:00+00:00
1654275600;-3;NORMAL;0.36;2022-06-03 17:00:00+00:00
1654279200;-3;NORMAL;0.54;2022-06-03 18:00:00+00:00
1654282800;-3;NORMAL;0.7;2022-06-03 19:00:00+00:00
1654286400;-3;NORMAL;0.76;2022-06-03 20:00:00+00:00
1654286858;-3;HIGH;0.76;2022-06-03 20:07:38+00:00
1654290000;-3;NORMAL;0.74;2022-06-03 21:00:00+00:00
1654293600;-3;NORMAL;0.68;2022-06-03 22:00:00+00:00
1654297200;-3;NORMAL;0.6;2022-06-03 23:00:00+00:00
1654300800;-3;NORMAL;0.53;2022-06-04 00:00:00+00:00
1654304400;-3;NORMAL;0.48;2022-06-04 01:00:00+00:00
1654308000;-3;NORMAL;0.46;2022-06-04 02:00:00+00:00
1654311600;-3;NORMAL;0.45;2022-06-04 03:00:00+00:00
1654315200;-3;NORMAL;0.44;2022-06-04 04:00:00+00:00
1654315676;-3;LOW;0.44;2022-06-04 04:07:56+00:00
1654318800;-3;NORMAL;0.46;2022-06-04 05:00:00+00:00
1654322400;-3;NORMAL;0.57;2022-06-04 06:00:00+00:00
1654326000;-3;NORMAL;0.68;2022-06-04 07:00:00+00:00
1654329160;-3;HIGH;0.72;2022-06-04 07:52:40+00:00
1654329600;-3;NORMAL;0.72;2022-06-04 08:00:00+00:00
1654333200;-3;NORMAL;0.68;2022-06-04 09:00:00+00:00
1654336800;-3;NORMAL;0.6;2022-06-04 10:00:00+00:00
1654340400;-3;NORMAL;0.49;2022-06-04 11:00:00+00:00
1654344000;-3;NORMAL;0.38;2022-06-04 12:00:00+00:00
1654347600;-3;NORMAL;0.3;2022-06-04 13:00:00+00:00
1654351200;-3;NORMAL;0.28;2022-06-04 14:00:00+00:00
1654354800;-3;NORMAL;0.27;2022-06-04 15:00:00+00:00
1654358371;-3;LOW;0.26;2022-06-04 15:59:31+00:00
1654358400;-3;NORMAL;0.26;2022-06-04 16:00:00+00:00
1654362000;-3;NORMAL;0.29;2022-06-04 17:00:00+00:00
1654365600;-3;NORMAL;0.41;2022-06-04 18:00:00+00:00
1654369200;-3;NORMAL;0.57;2022-06-04 19:00:00+00:00
1654372800;-3;NORMAL;0.69;2022-06-04 20:00:00+00:00
1654376400;-3;NORMAL;0.74;2022-06-04 21:00:00+00:00
1654377229;-3;HIGH;0.75;2022-06-04 21:13:49+00:00
1654380000;-3;NORMAL;0.73;2022-06-04 22:00:00+00:00
1654383600;-3;NORMAL;0.67;2022-06-04 23:00:00+00:00
1654387200;-3;NORMAL;0.59;2022-06-05 00:00:00+00:00
1654390800;-3;NORMAL;0.53;2022-06-05 01:00:00+00:00
1654394400;-3;NORMAL;0.51;2022-06-05 02:00:00+00:00
1654398000;-3;NORMAL;0.5;2022-06-05 03:00:00+00:00
1654401600;-3;NORMAL;0.48;2022-06-05 04:00:00+00:00
1654405055;-3;LOW;0.46;2022-06-05 04:57:35+00:00
1654405200;-3;NORMAL;0.46;2022-06-05 05:00:00+00:00
1654408800;-3;NORMAL;0.5;2022-06-05 06:00:00+00:00
1654412400;-3;NORMAL;0.59;2022-06-05 07:00:00+00:00
1654416000;-3;NORMAL;0.67;2022-06-05 08:00:00+00:00
1654419466;-3;HIGH;0.7;2022-06-05 08:57:46+00:00
1654419600;-3;NORMAL;0.7;2022-06-05 09:00:00+00:00
1654423200;-3;NORMAL;0.67;2022-06-05 10:00:00+00:00
1654426800;-3;NORMAL;0.58;2022-06-05 11:00:00+00:00
1654430400;-3;NORMAL;0.47;2022-06-05 12:00:00+00:00
1654434000;-3;NORMAL;0.38;2022-06-05 13:00:00+00:00
1654437600;-3;NORMAL;0.34;2022-06-05 14:00:00+00:00
1654441200;-3;NORMAL;0.32;2022-06-05 15:00:00+00:00
1654444800;-3;NORMAL;0.29;2022-06-05 16:00:00+00:00
1654448049;-3;LOW;0.28;2022-06-05 16:54:09+00:00
1654448400;-3;NORMAL;0.28;2022-06-05 17:00:00+00:00
1654452000;-3;NORMAL;0.32;2022-06-05 18:00:00+00:00
1654455600;-3;NORMAL;0.43;2022-06-05 19:00:00+00:00
1654459200;-3;NORMAL;0.56;2022-06-05 20:00:00+00:00
1654462800;-3;NORMAL;0.68;2022-06-05 21:00:00+00:00
1654466400;-3;NORMAL;0.74;2022-06-05 22:00:00+00:00
1654467036;-3;HIGH;0.74;2022-06-05 22:10:36+00:00
1654470000;-3;NORMAL;0.72;2022-06-05 23:00:00+00:00
1654473600;-3;NORMAL;0.65;2022-06-06 00:00:00+00:00
1654477200;-3;NORMAL;0.59;2022-06-06 01:00:00+00:00
1654480800;-3;NORMAL;0.56;2022-06-06 02:00:00+00:00
1654484400;-3;NORMAL;0.55;2022-06-06 03:00:00+00:00
1654488000;-3;NORMAL;0.52;2022-06-06 04:00:00+00:00
1654491600;-3;NORMAL;0.48;2022-06-06 05:00:00+00:00
1654494247;-3;LOW;0.47;2022-06-06 05:44:07+00:00
1654495200;-3;NORMAL;0.47;2022-06-06 06:00:00+00:00
