timestamp;utcOffset;rating.key;rating.value;datetime_utc
1738378800;-3;FAIR;3;2025-02-01 03:00:00+00:00
1738382400;-3;POOR_TO_FAIR;2;2025-02-01 04:00:00+00:00
1738386000;-3;POOR_TO_FAIR;2;2025-02-01 05:00:00+00:00
1738389600;-3;POOR_TO_FAIR;2;2025-02-01 06:00:00+00:00
1738393200;-3;POOR_TO_FAIR;2;2025-02-01 07:00:00+00:00
1738396800;-3;POOR_TO_FAIR;2;2025-02-01 08:00:00+00:00
1738400400;-3;POOR_TO_FAIR;2;2025-02-01 09:00:00+00:00
1738404000;-3;POOR_TO_FAIR;2;2025-02-01 10:00:00+00:00
1738407600;-3;POOR_TO_FAIR;2;2025-02-01 11:00:00+00:00
1738411200;-3;POOR_TO_FAIR;2;2025-02-01 12:00:00+00:00
1738414800;-3;POOR_TO_FAIR;2;2025-02-01 13:00:00+00:00
1738418400;-3;POOR_TO_FAIR;2;2025-02-01 14:00:00+00:00
1738422000;-3;POOR_TO_FAIR;2;2025-02-01 15:00:00+00:00
1738425600;-3;POOR_TO_FAIR;2;2025-02-01 16:00:00+00:00
1738429200;-3;POOR_TO_FAIR;2;2025-02-01 17:00:00+00:00
1738432800;-3;POOR_TO_FAIR;2;2025-02-01 18:00:00+00:00
1738436400;-3;POOR_TO_FAIR;2;2025-02-01 19:00:00+00:00
1738440000;-3;POOR_TO_FAIR;2;2025-02-01 20:00:00+00:00
1738443600;-3;POOR_TO_FAIR;2;2025-02-01 21:00:00+00:00
1738447200;-3;POOR_TO_FAIR;2;2025-02-01 22:00:00+00:00
1738450800;-3;POOR_TO_FAIR;2;2025-02-01 23:00:00+00:00
1738454400;-3;POOR_TO_FAIR;2;2025-02-02 00:00:00+00:00
1738458000;-3;POOR_TO_FAIR;2;2025-02-02 01:00:00+00:00
1738461600;-3;POOR_TO_FAIR;2;2025-02-02 02:00:00+00:00
1738465200;-3;POOR_TO_FAIR;2;2025-02-02 03:00:00+00:00
1738468800;-3;POOR_TO_FAIR;2;2025-02-02 04:00:00+00:00
1738472400;-3;POOR_TO_FAIR;2;2025-02-02 05:00:00+00:00
1738476000;-3;POOR_TO_FAIR;2;2025-02-02 06:00:00+00:00
1738479600;-3;POOR_TO_FAIR;2;2025-02-02 07:00:00+00:00
1738483200;-3;POOR_TO_FAIR;2;2025-02-02 08:00:00+00:00
1738486800;-3;POOR_TO_FAIR;2;2025-02-02 09:00:00+00:00
1738490400;-3;POOR_TO_FAIR;2;2025-02-02 10:00:00+00:00
1738494000;-3;POOR_TO_FAIR;2;2025-02-02 11:00:00+00:00
1738497600;-3;POOR_TO_FAIR;2;2025-02-02 12:00:00+00:00
1738501200;-3;POOR_TO_FAIR;2;2025-02-02 13:00:00+00:00
1738504800;-3;POOR_TO_FAIR;2;2025-02-02 14:00:00+00:00
1738508400;-3;POOR_TO_FAIR;2;2025-02-02 15:00:00+00:00
1738512000;-3;POOR_TO_FAIR;2;2025-02-02 16:00:00+00:00
1738515600;-3;POOR;1;2025-02-02 17:00:00+00:00
1738519200;-3;POOR;1;2025-02-02 18:00:00+00:00
1738522800;-3;POOR;1;2025-02-02 19:00:00+00:00
1738526400;-3;POOR;1;2025-02-02 20:00:00+00:00
1738530000;-3;POOR;1;2025-02-02 21:00:00+00:00
1738533600;-3;POOR;1;2025-02-02 22:00:00+00:00
1738537200;-3;POOR;1;2025-02-02 23:00:00+00:00
1738540800;-3;POOR;1;2025-02-03 00:00:00+00:00
1738544400;-3;POOR;1;2025-02-03 01:00:00+00:00
1738548000;-3;POOR;1;2025-02-03 02:00:00+00:00
1738551600;-3;POOR;1;2025-02-03 03:00:00+00:00
1738555200;-3;POOR;1;2025-02-03 04:00:00+00:00
1738558800;-3;POOR;1;2025-02-03 05:00:00+00:00
1738562400;-3;POOR_TO_FAIR;2;2025-02-03 06:00:00+00:00
1738566000;-3;POOR_TO_FAIR;2;2025-02-03 07:00:00+00:00
1738569600;-3;POOR_TO_FAIR;2;2025-02-03 08:00:00+00:00
1738573200;-3;POOR_TO_FAIR;2;2025-02-03 09:00:00+00:00
1738576800;-3;FAIR;3;2025-02-03 10:00:00+00:00
1738580400;-3;FAIR;3;2025-02-03 11:00:00+00:00
1738584000;-3;FAIR;3;2025-02-03 12:00:00+00:00
1738587600;-3;FAIR;3;2025-02-03 13:00:00+00:00
1738591200;-3;FAIR;3;2025-02-03 14:00:00+00:00
1738594800;-3;POOR_TO_FAIR;2;2025-02-03 15:00:00+00:00
1738598400;-3;POOR_TO_FAIR;2;2025-02-03 16:00:00+00:00
1738602000;-3;POOR_TO_FAIR;2;2025-02-03 17:00:00+00:00
1738605600;-3;POOR_TO_FAIR;2;2025-02-03 18:00:00+00:00
1738609200;-3;POOR_TO_FAIR;2;2025-02-03 19:00:00+00:00
1738612800;-3;POOR_TO_FAIR;2;2025-02-03 20:00:00+00:00
1738616400;-3;POOR_TO_FAIR;2;2025-02-03 21:00:00+00:00
1738620000;-3;POOR_TO_FAIR;2;2025-02-03 22:00:00+00:00
1738623600;-3;POOR_TO_FAIR;2;2025-02-03 23:00:00+00:00
